2010Per Pupil Expenditure,,,,,,,,
District Name,District Code,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,
Abington,00010000,"          $20,450,308.39","           2,228.9","               $9,175.07","          $23,636,399.95","           2,306.6","              $10,247.29",
Acton,00020000,"          $27,678,375.00","           2,618.5","              $10,570.32","          $29,809,645.00","           2,650.6","              $11,246.38",
Acton-Boxborough,06000000,"          $34,771,142.79","           2,927.6","              $11,877.01","          $39,499,707.33","           3,013.0","              $13,109.76",
Acushnet,00030000,"          $10,004,572.40","           1,010.4","               $9,901.60","          $14,550,286.44","           1,342.8","              $10,835.78",
Adams-Cheshire,06030000,"          $17,558,484.13","           1,551.9","              $11,314.19","          $18,966,781.69","           1,655.7","              $11,455.45",
Agawam,00050000,"          $49,295,398.00","           4,017.2","              $12,271.08","          $53,936,964.00","           4,178.2","              $12,909.14",
Amesbury,00070000,"          $27,955,649.92","           2,398.4","              $11,655.96","          $31,838,607.56","           2,571.0","              $12,383.74",
Amherst,00080000,"          $22,118,411.00","           1,331.1","              $16,616.64","          $23,031,388.00","           1,403.2","              $16,413.47",
Amherst-Pelham,06050000,"          $27,470,752.00","           1,659.0","              $16,558.62","          $30,656,624.00","           1,788.2","              $17,143.85",
Andover,00090000,"          $76,167,674.89","           6,223.1","              $12,239.51","          $84,025,574.89","           6,335.3","              $13,263.08",
Arlington,00100000,"          $55,535,498.61","           4,837.6","              $11,479.97","          $62,138,369.51","           4,970.4","              $12,501.68",
Ashburnham-Westminster,06100000,"          $25,157,101.28","           2,377.6","              $10,580.88","          $28,288,149.55","           2,479.2","              $11,410.19",
Ashland,00140000,"          $29,259,968.17","           2,642.8","              $11,071.58","          $31,648,872.78","           2,741.0","              $11,546.47",
Assabet Valley Regional Vocational Technical,08010000,"          $18,556,277.00",             992.4,"              $18,698.38","          $18,580,236.00",             992.4,"              $18,722.53",
Athol-Royalston,06150000,"          $21,121,419.91","           1,662.0","              $12,708.44","          $25,303,689.98","           1,998.3","              $12,662.61",
Attleboro,00160000,"          $66,913,134.84","           5,861.9","              $11,414.92","          $72,110,310.39","           6,219.2","              $11,594.79",
Auburn,00170000,"          $26,514,825.00","           2,369.8","              $11,188.63","          $29,917,101.00","           2,448.9","              $12,216.55",
Avon,00180000,"           $9,218,263.00",             743.8,"              $12,393.47","           $9,684,905.00",             759.8,"              $12,746.65",
Ayer,00190000,"          $13,845,844.10","           1,204.9","              $11,491.28","          $16,691,119.05","           1,354.3","              $12,324.54",
Barnstable,00200000,"          $58,735,018.50","           4,051.6","              $14,496.75","          $74,795,477.17","           5,396.0","              $13,861.28",
Bedford,00230000,"          $33,584,869.32","           2,379.7","              $14,113.07","          $39,790,621.52","           2,493.0","              $15,960.94",
Belchertown,00240000,"          $25,859,982.53","           2,600.1","               $9,945.76","          $28,817,886.68","           2,708.0","              $10,641.76",
Bellingham,00250000,"          $26,730,085.00","           2,620.9","              $10,198.82","          $29,410,463.00","           2,759.9","              $10,656.35",
Belmont,00260000,"          $42,311,791.85","           3,965.7","              $10,669.44","          $46,916,605.85","           4,041.3","              $11,609.29",
Berkley,00270000,"           $8,669,704.00",             924.0,"               $9,382.80","          $11,486,658.00","           1,175.7","               $9,770.06",
Berkshire Hills,06180000,"          $20,702,613.26","           1,375.5","              $15,050.97","          $21,934,919.03","           1,508.1","              $14,544.74",
Berlin,00280000,"           $3,439,746.00",             214.5,"              $16,036.11","           $3,596,767.00",             223.5,"              $16,092.92",
Berlin-Boylston,06200000,"           $5,759,841.00",             439.9,"              $13,093.52","           $7,363,194.00",             512.9,"              $14,356.00",
Beverly,00300000,"          $49,248,307.92","           4,279.4","              $11,508.23","          $55,510,074.92","           4,528.1","              $12,259.02",
Billerica,00310000,"          $68,356,175.18","           6,017.2","              $11,360.13","          $75,740,777.96","           6,308.8","              $12,005.58",
Blackstone Valley Regional Vocational Technical,08050000,"          $18,616,098.74","           1,147.4","              $16,224.59","          $18,629,259.74","           1,149.4","              $16,207.81",
Blackstone-Millville,06220000,"          $20,419,179.00","           2,068.2","               $9,872.92","          $22,287,344.00","           2,146.2","              $10,384.56",
Blue Hills Regional Vocational Technical,08060000,"          $16,707,936.00",             836.7,"              $19,968.85","          $17,526,867.00",             836.7,"              $20,947.61",
Boston,00350000,"         $982,181,319.58","          55,957.0","              $17,552.43","       $1,079,424,830.64","          61,597.2","              $17,523.92",
Bourne,00360000,"          $27,783,483.08","           2,375.0","              $11,698.31","          $30,430,590.08","           2,456.0","              $12,390.31",
Boxborough,00370000,"           $6,606,640.60",             497.0,"              $13,293.04","           $7,270,753.37",             506.1,"              $14,366.24",
Boxford,00380000,"          $10,274,871.00",             889.1,"              $11,556.49","          $10,520,538.00",             900.9,"              $11,677.81",
Boylston,00390000,"           $4,207,484.00",             380.1,"              $11,069.41","           $4,818,141.00",             421.9,"              $11,420.10",
Braintree,00400000,"          $55,345,614.34","           5,454.4","              $10,146.97","          $60,943,024.72","           5,577.5","              $10,926.58",
Brewster,00410000,"           $7,298,217.00",             488.7,"              $14,933.94","           $7,743,007.00",             508.1,"              $15,239.14",
Bridgewater-Raynham,06250000,"          $54,225,790.54","           5,651.6","               $9,594.77","          $60,903,029.94","           5,787.9","              $10,522.47",
Brimfield,00430000,"           $3,637,253.00",             351.0,"              $10,362.54","           $4,167,127.00",             354.6,"              $11,751.63",
Bristol County Agricultural,09100000,"           $7,619,208.74",             434.9,"              $17,519.45","           $7,640,587.74",             434.9,"              $17,568.61",
