2010Per Pupil Expenditure,,,,,,,,
District Name,District Code,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,
Bristol-Plymouth Regional Vocational Technical,08100000,"          $19,138,311.00","           1,223.7","              $15,639.71","          $19,148,311.00","           1,225.7","              $15,622.35",
Brockton,00440000,"         $183,382,072.45","          15,547.8","              $11,794.73","         $198,615,395.45","          16,041.3","              $12,381.50",
Brookfield,00450000,"           $3,480,219.00",             305.8,"              $11,380.70","           $3,810,074.00",             320.9,"              $11,873.09",
Brookline,00460000,"         $104,842,739.47","           6,542.8","              $16,024.14","         $112,981,270.47","           6,610.9","              $17,090.15",
Burlington,00480000,"          $49,001,284.93","           3,711.0","              $13,204.33","          $54,456,576.02","           3,814.5","              $14,276.20",
Cambridge,00490000,"         $142,722,059.11","           5,923.6","              $24,093.80","         $164,487,341.03","           6,391.0","              $25,737.34",
Canton,00500000,"          $37,523,312.00","           3,118.3","              $12,033.26","          $41,051,960.00","           3,178.3","              $12,916.33",
Cape Cod Regional Vocational Technical,08150000,"          $13,889,628.05",             671.8,"              $20,675.24","          $13,889,628.05",             671.8,"              $20,675.24",
Carlisle,00510000,"          $10,320,590.00",             700.7,"              $14,728.97","          $10,728,442.00",             706.7,"              $15,181.04",
Carver,00520000,"          $20,259,445.04","           1,899.9","              $10,663.43","          $22,410,007.04","           1,945.2","              $11,520.67",
Central Berkshire,06350000,"          $25,170,986.00","           2,003.5","              $12,563.51","          $26,835,179.00","           2,176.6","              $12,328.94",
Chatham,00550000,"          $11,523,793.49",             676.4,"              $17,036.95","          $12,105,080.49",             736.0,"              $16,447.12",
Chelmsford,00560000,"          $50,984,654.15","           5,478.2","               $9,306.83","          $60,508,651.44","           5,735.2","              $10,550.40",
Chelsea,00570000,"          $71,457,075.73","           5,622.4","              $12,709.35","          $79,799,272.09","           5,950.4","              $13,410.74",
Chesterfield-Goshen,06320000,"           $1,962,707.00",             186.0,"              $10,552.19","           $2,150,374.00",             207.0,"              $10,388.28",
Chicopee,00610000,"          $95,171,903.00","           7,775.1","              $12,240.60","          $98,444,749.00","           7,992.2","              $12,317.60",
Clarksburg,00630000,"           $2,429,485.00",             172.5,"              $14,083.97","           $3,351,895.00",             247.5,"              $13,543.01",
Clinton,00640000,"          $20,843,831.42","           2,007.1","              $10,385.05","          $24,330,039.20","           2,218.4","              $10,967.38",
Cohasset,00650000,"          $18,994,337.95","           1,497.3","              $12,685.73","          $20,603,694.79","           1,523.9","              $13,520.37",
Concord,00670000,"          $29,497,420.85","           1,903.4","              $15,497.23","          $32,181,621.33","           1,957.7","              $16,438.48",
Concord-Carlisle,06400000,"          $20,091,714.87","           1,243.7","              $16,154.79","          $24,184,784.46","           1,281.5","              $18,872.25",
Conway,00680000,"           $2,438,467.68",             185.3,"              $13,159.57","           $2,599,169.68",             199.8,"              $13,008.86",
Danvers,00710000,"          $42,100,494.22","           3,633.3","              $11,587.40","          $47,521,452.63","           3,763.9","              $12,625.59",
Dartmouth,00720000,"          $40,244,675.14","           3,986.1","              $10,096.25","          $43,268,272.32","           4,042.6","              $10,703.08",
Dedham,00730000,"          $39,211,995.64","           2,883.1","              $13,600.64","          $44,245,097.49","           2,979.1","              $14,851.83",
Deerfield,00740000,"           $5,467,277.00",             493.4,"              $11,080.82","           $5,687,419.00",             516.0,"              $11,022.13",
Dennis-Yarmouth,06450000,"          $44,641,506.00","           3,283.8","              $13,594.47","          $50,837,696.00","           3,736.9","              $13,604.24",
Dighton-Rehoboth,06500000,"          $31,833,904.00","           3,249.1","               $9,797.76","          $34,133,087.00","           3,277.0","              $10,415.96",
Douglas,00770000,"          $15,982,950.13","           1,766.8","               $9,046.27","          $16,555,776.13","           1,812.3","               $9,135.23",
Dover,00780000,"           $7,719,301.65",             581.2,"              $13,281.66","           $9,242,345.23",             590.7,"              $15,646.43",
Dover-Sherborn,06550000,"          $18,418,112.00","           1,139.8","              $16,159.07","          $18,640,891.00","           1,172.3","              $15,901.13",
Dracut,00790000,"          $38,447,313.00","           4,119.1","               $9,333.91","          $41,807,818.00","           4,233.2","               $9,876.17",
Dudley-Charlton Reg,06580000,"          $42,276,107.00","           4,330.9","               $9,761.51","          $45,114,036.00","           4,418.9","              $10,209.34",
Duxbury,00820000,"          $34,887,141.59","           3,254.6","              $10,719.33","          $36,458,195.59","           3,289.3","              $11,083.88",
East Bridgewater,00830000,"          $22,031,056.72","           2,381.5","               $9,250.92","          $24,567,127.49","           2,459.4","               $9,989.07",
East Longmeadow,00870000,"          $28,913,757.60","           2,847.1","              $10,155.51","          $33,045,944.43","           2,953.5","              $11,188.74",
Eastham,00850000,"           $4,350,017.00",             222.1,"              $19,585.85","           $4,547,527.00",             238.5,"              $19,067.20",
Easthampton,00860000,"          $17,698,841.51","           1,577.5","              $11,219.55","          $21,735,621.51","           1,914.3","              $11,354.34",
Easton,00880000,"          $38,518,382.67","           3,932.6","               $9,794.64","          $40,810,934.07","           4,000.5","              $10,201.46",
Edgartown,00890000,"           $7,486,623.00",             328.3,"              $22,804.21","           $8,399,342.00",             403.4,"              $20,821.37",
Erving,00910000,"           $3,004,818.00",             164.6,"              $18,255.27","           $4,259,078.00",             290.9,"              $14,641.04",
Essex Agricultural Technical,09130000,"          $10,343,923.37",             456.2,"              $22,674.10","          $10,343,923.37",             456.2,"              $22,674.10",
Everett,00930000,"          $67,913,494.00","           5,965.8","              $11,383.80","          $80,643,965.00","           6,511.4","              $12,385.04",
Fairhaven,00940000,"          $21,009,725.24","           1,986.6","              $10,575.72","          $22,915,041.79","           2,032.5","              $11,274.31",
Fall River,00950000,"         $126,574,787.00","           9,785.9","              $12,934.40","         $141,181,460.00","          10,627.6","              $13,284.42",
Falmouth,00960000,"          $50,281,616.00","           3,748.6","              $13,413.44","          $54,662,291.00","           3,893.4","              $14,039.73",
Farmington River Reg,06620000,"           $2,821,658.00",             148.5,"              $19,001.06","           $3,955,831.00",             300.8,"              $13,151.03",
Fitchburg,00970000,"          $60,664,188.23","           4,879.3","              $12,432.97","          $70,271,800.95","           5,513.0","              $12,746.56",
Florida,00980000,"           $1,337,243.00",             110.8,"              $12,068.98","           $1,572,305.00",             128.8,"              $12,207.34",
Foxborough,00990000,"          $33,040,244.74","           2,848.1","              $11,600.80","          $36,464,551.95","           2,998.2","              $12,162.15",
Framingham,01000000,"         $119,396,940.00","           8,073.7","              $14,788.38","         $133,122,922.00","           8,492.6","              $15,675.17",
Franklin,01010000,"          $58,110,566.59","           6,136.5","               $9,469.66","          $68,324,487.59","           6,617.0","              $10,325.60",
Franklin County Regional Vocational Technical,08180000,"          $10,338,493.82",             499.2,"              $20,710.12","          $10,343,493.82",             500.2,"              $20,678.72",
Freetown,01020000,"           $5,190,962.70",             537.8,"               $9,652.22","           $7,800,274.10",             617.0,"              $12,642.26",
Freetown-Lakeville,06650000,"          $21,178,480.58","           1,912.2","              $11,075.45","          $21,302,621.22","           1,950.8","              $10,919.94",
Frontier,06700000,"           $9,944,276.00",             705.5,"              $14,095.36","          $11,403,939.00",             783.2,"              $14,560.70",
Gardner,01030000,"          $28,141,537.72","           2,592.8","              $10,853.72","          $30,728,666.23","           2,778.8","              $11,058.25",
Gateway,06720000,"          $15,471,698.00","           1,195.1","              $12,945.94","          $17,126,959.00","           1,299.1","              $13,183.71",
Georgetown,01050000,"          $14,715,739.92","           1,680.5","               $8,756.76","          $15,877,141.71","           1,735.6","               $9,147.93",
Gill-Montague,06740000,"          $16,725,150.97","           1,074.2","              $15,569.87","          $19,425,807.82","           1,312.9","              $14,796.11",
Gloucester,01070000,"          $42,380,173.41","           3,371.9","              $12,568.63","          $46,876,075.67","           3,658.7","              $12,812.22",
Grafton,01100000,"          $27,631,742.00","           2,879.1","               $9,597.35","          $29,061,568.00","           2,947.4","               $9,860.07",
Granby,01110000,"          $11,153,092.00","           1,136.4","               $9,814.41","          $12,029,215.00","           1,187.2","              $10,132.43",
Granville,01120000,"           $2,388,459.00",             162.3,"              $14,716.32","           $3,630,996.00",             255.9,"              $14,189.12",
Greater Fall River Regional Vocational Technical,08210000,"          $23,751,783.56","           1,392.5","              $17,056.94","          $23,766,783.56","           1,395.5","              $17,031.02",
Greater Lawrence Regional Vocational Technical,08230000,"          $26,217,217.70","           1,171.2","              $22,384.92","          $27,297,188.62","           1,369.6","              $19,930.77",
Greater Lowell Regional Vocational Technical,08280000,"          $35,210,293.76","           2,007.2","              $17,542.00","          $35,508,468.76","           2,059.7","              $17,239.63",
Greater New Bedford Regional Vocational Technical,08250000,"          $35,697,957.41","           2,088.3","              $17,094.27","          $35,702,957.41","           2,089.3","              $17,088.48",
Greenfield,01140000,"          $22,697,252.00","           1,505.3","              $15,078.22","          $27,679,267.00","           2,023.5","              $13,678.91",
Groton-Dunstable,06730000,"          $30,120,693.00","           2,814.0","              $10,703.87","          $33,312,203.00","           2,926.5","              $11,382.95",
Hadley,01170000,"           $7,182,196.00",             715.5,"              $10,038.01","           $8,049,052.00",             793.7,"              $10,141.18",
Halifax,01180000,"           $5,913,262.51",             657.8,"               $8,989.45","           $7,185,898.18",             681.2,"              $10,548.88",
Hamilton-Wenham,06750000,"          $27,560,085.00","           2,002.9","              $13,760.09","          $28,957,412.00","           2,036.6","              $14,218.51",
Hampden-Wilbraham,06800000,"          $38,038,925.32","           3,606.8","              $10,546.45","          $42,212,582.32","           3,701.8","              $11,403.26",
Hampshire,06830000,"          $11,136,584.00",             819.0,"              $13,597.78","          $12,454,951.00",             925.6,"              $13,456.08",
Hancock,01210000,"             $605,438.00",              41.0,"              $14,766.78","           $1,322,219.00",             116.9,"              $11,310.68",
Hanover,01220000,"          $28,249,262.00","           2,712.2","              $10,415.63","          $29,276,205.00","           2,758.5","              $10,613.09",
Harvard,01250000,"          $15,362,167.40","           1,272.6","              $12,071.48","          $17,316,183.68","           1,321.3","              $13,105.41",
Harwich,01260000,"          $20,319,738.06","           1,313.1","              $15,474.63","          $22,957,750.06","           1,538.8","              $14,919.26",
Hatfield,01270000,"           $4,566,626.00",             460.9,"               $9,908.06","           $5,243,688.00",             549.3,"               $9,546.13",
Haverhill,01280000,"          $79,064,045.00","           6,942.6","              $11,388.25","          $92,339,549.00","           8,088.3","              $11,416.43",
Hawlemont,06850000,"           $1,635,482.04",             104.4,"              $15,665.54","           $1,843,171.32",             120.6,"              $15,283.34",
Hingham,01310000,"          $41,726,838.00","           4,058.8","              $10,280.58","          $45,292,342.00","           4,124.1","              $10,982.36",
Holbrook,01330000,"          $12,524,624.45","           1,161.1","              $10,786.86","          $15,905,289.09","           1,235.6","              $12,872.52",
Holland,01350000,"           $2,443,847.00",             250.3,"               $9,763.67","           $2,927,370.00",             252.6,"              $11,588.95",
Holliston,01360000,"          $33,111,949.35","           2,869.4","              $11,539.68","          $35,848,938.67","           2,941.9","              $12,185.64",
Holyoke,01370000,"          $88,647,791.79","           5,756.7","              $15,399.06","         $103,431,471.89","           6,594.2","              $15,685.22",
Hopedale,01380000,"          $11,982,716.22","           1,314.9","               $9,113.02","          $12,912,923.89","           1,375.2","               $9,389.85",
Hopkinton,01390000,"          $39,104,746.12","           3,440.9","              $11,364.69","          $41,971,448.53","           3,520.9","              $11,920.66",
Hudson,01410000,"          $34,647,252.26","           3,076.9","              $11,260.44","          $37,310,036.03","           3,170.6","              $11,767.50",
Hull,01420000,"          $14,713,912.81","           1,199.9","              $12,262.62","          $16,746,408.09","           1,287.3","              $13,008.94",
Ipswich,01440000,"          $22,668,744.90","           2,131.8","              $10,633.62","          $23,493,144.57","           2,155.4","              $10,899.67",
King Philip,06900000,"          $22,059,120.00","           2,045.0","              $10,786.86","          $25,096,269.00","           2,137.3","              $11,742.04",
Kingston,01450000,"           $9,267,699.21","           1,184.6","               $7,823.48","          $11,941,274.38","           1,226.0","               $9,740.03",
Lakeville,01460000,"           $5,945,759.96",             744.9,"               $7,981.96","           $7,364,789.84",             760.0,"               $9,690.51",
Lanesborough,01480000,"           $3,705,486.79",             276.3,"              $13,411.10","           $4,131,868.90",             305.0,"              $13,547.11",
Lawrence,01490000,"         $167,995,536.87","          12,442.1","              $13,502.19","         $190,664,214.14","          13,663.0","              $13,954.78",
Lee,01500000,"          $11,360,807.72",             831.3,"              $13,666.32","          $12,132,794.97",             913.9,"              $13,275.85",
Leicester,01510000,"          $18,067,832.65","           1,881.7","               $9,601.87","          $20,998,007.65","           1,994.7","              $10,526.90",
Lenox,01520000,"          $12,049,706.27",             820.5,"              $14,685.81","          $12,359,850.46",             868.8,"              $14,226.35",
Leominster,01530000,"          $66,760,756.50","           6,251.7","              $10,678.82","          $75,689,636.06","           6,657.7","              $11,368.74",
Leverett,01540000,"           $2,376,385.70",             164.4,"              $14,454.90","           $2,494,243.70",             171.0,"              $14,586.22",
Lexington,01550000,"          $92,612,853.52","           6,231.0","              $14,863.24","          $99,996,416.14","           6,304.1","              $15,862.12",
Lincoln,01570000,"          $22,341,161.11","           1,036.1","              $21,562.75","          $22,765,095.48","           1,043.7","              $21,811.91",
Lincoln-Sudbury,06950000,"          $23,356,284.14","           1,583.2","              $14,752.58","          $26,397,259.99","           1,617.1","              $16,323.83",
Littleton,01580000,"          $17,392,689.71","           1,607.6","              $10,819.04","          $20,729,088.96","           1,744.7","              $11,881.18",
Longmeadow,01590000,"          $34,518,374.55","           3,077.6","              $11,216.00","          $38,071,668.07","           3,131.4","              $12,158.03",
Lowell,01600000,"         $173,105,144.25","          13,553.6","              $12,771.89","         $190,960,504.01","          14,804.7","              $12,898.64",
Ludlow,01610000,"          $32,132,053.54","           3,004.4","              $10,695.00","          $36,156,719.59","           3,097.7","              $11,672.12",
Lunenburg,01620000,"          $18,165,020.00","           1,719.2","              $10,565.97","          $19,391,775.00","           1,808.9","              $10,720.20",
Lynn,01630000,"         $170,171,203.90","          13,359.2","              $12,738.13","         $185,531,754.90","          14,100.7","              $13,157.63",
Lynnfield,01640000,"          $24,943,278.15","           2,333.4","              $10,689.67","          $25,848,165.67","           2,370.1","              $10,905.94",
Malden,01650000,"          $77,330,355.90","           6,408.4","              $12,067.03","          $88,251,920.01","           7,116.9","              $12,400.33",
Manchester Essex Regional,06980000,"          $18,378,043.81","           1,457.2","              $12,611.89","          $20,086,600.01","           1,478.9","              $13,582.12",
Mansfield,01670000,"          $48,155,969.55","           4,920.3","               $9,787.20","          $51,865,183.94","           5,103.1","              $10,163.47",
Marblehead,01680000,"          $38,140,189.00","           3,255.2","              $11,716.70","          $41,340,329.00","           3,378.9","              $12,234.85",
Marion,01690000,"           $5,510,415.21",             444.5,"              $12,396.88","           $5,933,588.80",             449.1,"              $13,212.18",
Marlborough,01700000,"          $59,325,040.47","           4,586.3","              $12,935.27","          $69,089,655.60","           4,997.5","              $13,824.84",
Marshfield,01710000,"          $45,384,493.91","           4,736.1","               $9,582.67","          $48,529,956.15","           4,826.8","              $10,054.27",
Marthas Vineyard,07000000,"          $15,861,621.00",             700.2,"              $22,652.99","          $17,651,540.00",             753.1,"              $23,438.51",
Masconomet,07050000,"          $24,950,634.03","           2,082.8","              $11,979.37","          $27,091,616.45","           2,130.1","              $12,718.47",
Mashpee,01720000,"          $24,528,835.15","           1,811.5","              $13,540.62","          $26,091,109.01","           1,881.1","              $13,870.13",
Mattapoisett,01730000,"           $6,774,710.11",             519.4,"              $13,043.34","           $7,559,057.29",             529.0,"              $14,289.33",
Maynard,01740000,"          $17,437,130.00","           1,331.9","              $13,091.92","          $19,047,785.00","           1,432.3","              $13,298.74",
Medfield,01750000,"          $30,696,927.00","           3,004.3","              $10,217.66","          $32,654,154.00","           3,040.2","              $10,740.79",
Medford,01760000,"          $59,454,835.00","           4,847.6","              $12,264.80","          $67,644,856.00","           5,277.5","              $12,817.59",
Medway,01770000,"          $27,413,077.00","           2,681.9","              $10,221.51","          $30,394,908.00","           2,772.2","              $10,964.18",
Melrose,01780000,"          $36,876,815.18","           3,756.3","               $9,817.32","          $42,407,250.19","           4,041.4","              $10,493.21",
Mendon-Upton,07100000,"          $28,119,832.51","           2,831.1","               $9,932.48","          $30,710,915.85","           2,927.3","              $10,491.21",
Methuen,01810000,"          $74,788,089.75","           7,273.4","              $10,282.41","          $81,128,079.75","           7,468.0","              $10,863.43",
Middleborough,01820000,"          $37,476,795.00","           3,469.7","              $10,801.16","          $41,407,526.00","           3,577.1","              $11,575.73",
Middleton,01840000,"           $9,523,788.32",             858.0,"              $11,099.99","           $9,986,410.32",             871.5,"              $11,458.88",
Milford,01850000,"          $46,133,174.54","           4,050.1","              $11,390.63","          $51,044,365.77","           4,260.9","              $11,979.71",
Millbury,01860000,"          $22,242,874.99","           1,872.3","              $11,879.97","          $23,675,129.53","           1,907.8","              $12,409.65",
Millis,01870000,"          $13,805,830.43","           1,431.0","               $9,647.68","          $15,429,570.43","           1,493.0","              $10,334.61",
Milton,01890000,"          $42,961,989.39","           3,948.2","              $10,881.41","          $47,201,260.79","           4,017.1","              $11,750.08",
Minuteman Regional Vocational Technical,08300000,"          $18,035,954.00",             620.7,"              $29,057.44","          $18,049,078.00",             623.2,"              $28,961.94",
Mohawk Trail,07170000,"          $17,060,733.40","           1,025.8","              $16,631.64","          $18,666,463.65","           1,151.2","              $16,214.79",
Monson,01910000,"          $14,695,668.00","           1,401.8","              $10,483.43","          $15,952,656.00","           1,437.8","              $11,095.18",
Montachusett Regional Vocational Technical,08320000,"          $23,026,473.02","           1,323.3","              $17,400.80","          $23,196,561.02","           1,352.3","              $17,153.41",
Mount Greylock,07150000,"           $9,804,032.33",             631.0,"              $15,537.29","          $10,443,028.33",             666.3,"              $15,673.16",
Nahant,01960000,"           $2,444,711.00",             227.1,"              $10,764.91","           $4,337,116.00",             402.3,"              $10,780.80",
Nantucket,01970000,"          $27,603,378.00","           1,231.9","              $22,407.16","          $27,905,747.00","           1,242.6","              $22,457.55",
Narragansett,07200000,"          $16,927,927.00","           1,574.5","              $10,751.30","          $19,477,775.00","           1,702.7","              $11,439.35",
Nashoba,07250000,"          $41,822,245.39","           3,405.9","              $12,279.35","          $44,303,871.15","           3,538.4","              $12,520.88",
Nashoba Valley Regional Vocational Technical,08520000,"          $10,189,781.67",             694.0,"              $14,682.68","          $10,194,781.67",             695.0,"              $14,668.75",
Natick,01980000,"          $57,192,764.96","           4,737.5","              $12,072.35","          $63,285,886.00","           4,902.1","              $12,909.95",
Nauset,06600000,"          $22,635,577.00","           1,520.9","              $14,883.01","          $26,765,895.00","           1,678.5","              $15,946.32",
Needham,01990000,"          $67,170,242.52","           5,334.7","              $12,591.19","          $71,678,370.62","           5,410.4","              $13,248.26",
New Bedford,02010000,"         $158,264,577.00","          12,602.1","              $12,558.59","         $169,827,790.00","          13,191.6","              $12,873.93",
New Salem-Wendell,07280000,"           $1,982,533.00",             136.5,"              $14,524.05","           $2,046,848.00",             148.0,"              $13,830.05",
Newburyport,02040000,"          $29,122,417.32","           2,267.4","              $12,843.97","          $32,333,883.12","           2,499.1","              $12,938.21",
Newton,02070000,"         $186,194,112.00","          11,714.9","              $15,893.79","         $196,904,084.00","          11,863.5","              $16,597.47",
Norfolk,02080000,"          $11,919,975.00","           1,070.9","              $11,130.80","          $12,668,217.00","           1,087.5","              $11,648.94",
Norfolk County Agricultural,09150000,"           $9,468,608.57",             464.6,"              $20,380.13","           $9,468,608.57",             464.6,"              $20,380.13",
North Adams,02090000,"          $22,073,334.60","           1,568.9","              $14,069.31","          $25,151,699.60","           1,752.8","              $14,349.44",
North Andover,02110000,"          $48,052,440.42","           4,623.3","              $10,393.54","          $53,235,545.88","           4,720.9","              $11,276.57",
North Attleborough,02120000,"          $44,597,608.73","           4,723.0","               $9,442.64","          $47,801,034.22","           4,859.4","               $9,836.82",
North Brookfield,02150000,"           $7,681,356.23",             635.1,"              $12,094.72","           $8,769,155.23",             765.3,"              $11,458.45",
North Middlesex,07350000,"          $41,706,627.93","           4,075.6","              $10,233.25","          $46,444,949.35","           4,278.0","              $10,856.70",
North Reading,02170000,"          $28,704,949.98","           2,742.2","              $10,467.85","          $31,020,979.74","           2,792.6","              $11,108.28",
North Shore Regional Vocational Technical,08540000,"          $10,516,028.94",             442.9,"              $23,743.57","          $10,553,080.94",             447.5,"              $23,582.30",
Northampton,02100000,"          $31,528,176.79","           2,699.7","              $11,678.40","          $36,087,644.79","           2,990.3","              $12,068.24",
Northampton-Smith Vocational Agricultural,04060000,"           $8,222,150.59",             452.4,"              $18,174.52","           $8,222,150.59",             452.4,"              $18,174.52",
Northboro-Southboro,07300000,"          $18,749,016.19","           1,385.8","              $13,529.38","          $19,430,792.21","           1,418.8","              $13,695.23",
Northborough,02130000,"          $21,258,900.48","           1,882.1","              $11,295.31","          $23,310,677.92","           1,936.9","              $12,035.04",
Northbridge,02140000,"          $26,564,622.09","           2,497.7","              $10,635.63","          $29,603,957.46","           2,663.7","              $11,113.85",
Northeast Metropolitan Regional Vocational Technical,08530000,"          $23,116,252.00","           1,223.6","              $18,892.00","          $23,121,342.00","           1,224.1","              $18,888.44",
Northern Berkshire Regional Vocational Technical,08510000,"           $8,673,016.00",             502.2,"              $17,270.04","           $8,675,316.00",             502.7,"              $17,257.44",
Norton,02180000,"          $28,200,807.62","           2,834.2","               $9,950.18","          $33,890,286.62","           3,100.1","              $10,932.00",
Norwell,02190000,"          $25,051,662.18","           2,337.6","              $10,716.83","          $26,959,306.10","           2,369.1","              $11,379.56",
Norwood,02200000,"          $41,792,850.98","           3,462.9","              $12,068.74","          $45,378,434.98","           3,551.4","              $12,777.62",
Oak Bluffs,02210000,"           $7,507,875.34",             416.6,"              $18,021.78","           $8,274,905.34",             472.4,"              $17,516.73",
Old Colony Regional Vocational Technical,08550000,"           $9,568,396.54",             563.5,"              $16,980.30","           $9,568,396.54",             563.5,"              $16,980.30",
Old Rochester,07400000,"          $16,038,771.67","           1,152.9","              $13,911.68","          $16,053,002.67","           1,160.4","              $13,834.03",
Orange,02230000,"           $8,365,107.00",             817.1,"              $10,237.56","           $8,859,329.00",             847.6,"              $10,452.25",
Orleans,02240000,"           $4,366,803.00",             187.6,"              $23,277.20","           $4,510,954.00",             188.7,"              $23,905.43",
