2012Per Pupil Expenditure,,,,,,,,
District Name,District Code,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,
Blackstone-Millville,06220000,"          $19,353,926.00","           1,920.8","              $10,075.97","          $21,552,390.00","           1,995.5","              $10,800.50",
Blue Hills Regional Vocational Technical,08060000,"          $17,397,800.00",             819.6,"              $21,227.18","          $17,403,873.00",             820.6,"              $21,208.72",
Boston,00350000,"       $1,005,538,539.96","          56,026.2","              $17,947.65","       $1,119,402,422.62","          62,411.2","              $17,935.91",
Bourne,00360000,"          $28,305,247.00","           2,159.3","              $13,108.53","          $31,413,172.00","           2,304.8","              $13,629.46",
Boxborough,00370000,"           $6,843,030.17",             472.2,"              $14,491.80","           $7,484,020.37",             482.0,"              $15,527.01",
Boxford,00380000,"          $10,757,065.00",             826.3,"              $13,018.35","          $11,199,080.00",             839.8,"              $13,335.41",
Boylston,00390000,"           $5,096,120.00",             383.7,"              $13,281.52","           $5,655,735.00",             421.8,"              $13,408.57",
Braintree,00400000,"          $58,799,467.79","           5,540.3","              $10,613.05","          $65,460,651.33","           5,660.9","              $11,563.65",
Brewster,00410000,"           $8,771,807.00",             488.8,"              $17,945.60","           $8,934,342.00",             503.4,"              $17,748.00",
Bridgewater-Raynham,06250000,"          $59,727,750.00","           5,526.0","              $10,808.50","          $66,412,524.00","           5,743.1","              $11,563.88",
Brimfield,00430000,"           $3,973,037.00",             325.8,"              $12,194.71","           $4,506,144.00",             330.7,"              $13,626.08",
Bristol County Agricultural,09100000,"           $8,695,825.17",             443.5,"              $19,607.27","           $8,734,633.17",             443.5,"              $19,694.78",
Bristol-Plymouth Regional Vocational Technical,08100000,"          $21,006,615.61","           1,248.3","              $16,828.18","          $21,056,661.61","           1,251.3","              $16,827.83",
Brockton,00440000,"         $198,615,272.05","          16,064.5","              $12,363.61","         $216,666,508.77","          16,667.5","              $12,999.34",
Brookfield,00450000,"           $3,558,992.00",             324.5,"              $10,967.62","           $3,795,986.00",             333.4,"              $11,385.68",
Brookline,00460000,"         $109,975,529.84","           6,873.7","              $15,999.47","         $115,616,027.84","           6,954.0","              $16,625.83",
Burlington,00480000,"          $52,266,708.26","           3,619.7","              $14,439.51","          $59,058,673.00","           3,716.0","              $15,893.08",
Cambridge,00490000,"         $155,377,923.67","           6,094.4","              $25,495.20","         $179,964,302.36","           6,660.9","              $27,018.02",
Canton,00500000,"          $39,710,035.00","           3,218.5","              $12,338.06","          $43,049,165.00","           3,273.0","              $13,152.82",
Cape Cod Regional Vocational Technical,08150000,"          $14,088,035.50",             658.0,"              $21,410.39","          $14,088,035.50",             658.0,"              $21,410.39",
Carlisle,00510000,"          $10,207,944.91",             643.1,"              $15,873.03","          $10,867,242.92",             654.1,"              $16,614.04",
Carver,00520000,"          $21,292,786.00","           1,828.6","              $11,644.31","          $23,526,630.00","           1,886.1","              $12,473.69",
Central Berkshire,06350000,"          $25,297,017.00","           1,835.3","              $13,783.59","          $26,572,670.00","           2,000.6","              $13,282.35",
Chatham,00550000,"          $11,566,992.05",             636.6,"              $18,169.95","          $12,359,605.06",             724.4,"              $17,061.85",
Chelmsford,00560000,"          $55,098,010.16","           5,192.6","              $10,610.87","          $64,001,383.16","           5,446.3","              $11,751.35",
Chelsea,00570000,"          $72,696,345.54","           5,680.6","              $12,797.30","          $82,330,817.23","           6,083.5","              $13,533.46",
Chesterfield-Goshen,06320000,"           $2,056,869.00",             174.6,"              $11,780.46","           $2,238,157.00",             193.0,"              $11,596.67",
Chicopee,00610000,"          $96,054,765.13","           7,636.2","              $12,578.87","         $100,539,684.08","           7,894.0","              $12,736.22",
Clarksburg,00630000,"           $2,372,407.00",             180.4,"              $13,150.81","           $3,165,348.00",             246.5,"              $12,841.17",
Clinton,00640000,"          $20,202,366.27","           1,924.6","              $10,496.92","          $24,957,157.29","           2,213.8","              $11,273.45",
Cohasset,00650000,"          $19,368,396.75","           1,534.3","              $12,623.60","          $21,070,977.73","           1,558.1","              $13,523.51",
Concord,00670000,"          $31,391,086.76","           1,986.0","              $15,806.19","          $34,361,874.39","           2,034.1","              $16,892.91",
Concord-Carlisle,06400000,"          $21,940,021.39","           1,202.2","              $18,249.89","          $25,503,942.08","           1,242.6","              $20,524.66",
Conway,00680000,"           $2,330,167.00",             181.6,"              $12,831.32","           $2,538,365.00",             200.0,"              $12,691.83",
Danvers,00710000,"          $42,793,372.86","           3,602.4","              $11,879.13","          $48,126,895.87","           3,724.2","              $12,922.75",
Dartmouth,00720000,"          $40,620,635.68","           3,834.2","              $10,594.29","          $43,548,691.61","           3,881.3","              $11,220.13",
Dedham,00730000,"          $41,580,674.63","           2,817.9","              $14,755.91","          $46,895,538.67","           2,923.7","              $16,039.79",
Deerfield,00740000,"           $5,763,141.26",             460.5,"              $12,514.96","           $5,962,543.26",             477.9,"              $12,476.55",
Dennis-Yarmouth,06450000,"          $44,246,514.12","           3,004.3","              $14,727.73","          $51,102,530.69","           3,528.8","              $14,481.56",
Dighton-Rehoboth,06500000,"          $33,954,258.39","           3,147.0","              $10,789.41","          $37,380,411.39","           3,214.1","              $11,630.13",
Douglas,00770000,"          $16,442,107.29","           1,659.2","               $9,909.66","          $17,264,375.00","           1,714.4","              $10,070.21",
Dover,00780000,"           $8,066,613.00",             521.5,"              $15,468.10","           $9,751,493.00",             532.5,"              $18,312.66",
Dover-Sherborn,06550000,"          $19,298,602.00","           1,181.3","              $16,336.75","          $19,935,660.00","           1,213.1","              $16,433.65",
Dracut,00790000,"          $38,679,052.00","           3,957.7","               $9,773.11","          $42,650,616.00","           4,088.7","              $10,431.34",
Dudley-Charlton Reg,06580000,"          $41,853,364.65","           4,142.1","              $10,104.38","          $44,941,176.53","           4,230.3","              $10,623.64",
Duxbury,00820000,"          $36,120,826.72","           3,179.1","              $11,361.97","          $38,002,489.72","           3,213.8","              $11,824.78",
East Bridgewater,00830000,"          $21,712,512.89","           2,278.3","               $9,530.14","          $24,468,116.98","           2,356.9","              $10,381.48",
East Longmeadow,00870000,"          $31,404,209.29","           2,789.5","              $11,258.01","          $35,028,654.32","           2,882.2","              $12,153.44",
Eastham,00850000,"           $4,137,933.00",             206.6,"              $20,028.72","           $4,424,888.00",             226.7,"              $19,518.69",
Easthampton,00860000,"          $17,806,276.79","           1,597.2","              $11,148.43","          $21,775,833.00","           1,913.2","              $11,381.89",
Easton,00880000,"          $40,936,205.42","           3,873.0","              $10,569.64","          $43,776,579.52","           3,932.2","              $11,132.85",
Edgartown,00890000,"           $7,795,093.00",             340.8,"              $22,872.93","           $8,816,568.00",             422.1,"              $20,887.39",
Erving,00910000,"           $2,975,718.00",             150.0,"              $19,838.12","           $4,388,288.01",             270.6,"              $16,216.88",
Essex Agricultural Technical,09130000,"          $10,938,476.71",             475.5,"              $23,004.16","          $10,938,476.71",             475.5,"              $23,004.16",
Everett,00930000,"          $70,813,441.00","           6,395.1","              $11,073.08","          $85,715,442.00","           6,991.1","              $12,260.65",
Fairhaven,00940000,"          $22,200,632.45","           1,966.3","              $11,290.56","          $24,375,266.95","           2,015.2","              $12,095.71",
Fall River,00950000,"         $133,227,661.00","           9,938.7","              $13,404.94","         $149,711,201.00","          10,813.8","              $13,844.46",
Falmouth,00960000,"          $50,012,683.00","           3,528.8","              $14,172.72","          $55,276,956.32","           3,700.2","              $14,938.91",
Farmington River Reg,06620000,"           $3,099,067.00",             151.1,"              $20,510.04","           $4,339,038.00",             266.5,"              $16,281.57",
Fitchburg,00970000,"          $60,353,610.62","           4,880.7","              $12,365.77","          $71,113,539.65","           5,608.1","              $12,680.50",
Florida,00980000,"           $1,355,604.00",             102.7,"              $13,199.65","           $1,616,033.00",             119.6,"              $13,511.98",
Foxborough,00990000,"          $36,018,705.81","           2,750.7","              $13,094.38","          $39,458,628.08","           2,894.0","              $13,634.63",
Framingham,01000000,"         $121,963,924.00","           8,123.2","              $15,014.27","         $138,161,875.00","           8,641.9","              $15,987.44",
Franklin,01010000,"          $60,641,481.26","           5,922.8","              $10,238.65","          $71,652,011.26","           6,450.3","              $11,108.32",
Franklin County Regional Vocational Technical,08180000,"          $10,403,952.00",             489.7,"              $21,245.56","          $10,413,952.00",             491.7,"              $21,179.48",
Freetown-Lakeville,06650000,"          $29,951,255.75","           3,088.6","               $9,697.36","          $32,185,351.44","           3,132.3","              $10,275.31",
Frontier,06700000,"          $10,112,433.00",             649.2,"              $15,576.76","          $11,711,040.00",             729.3,"              $16,057.92",
Gardner,01030000,"          $28,192,393.56","           2,487.1","              $11,335.45","          $30,164,691.56","           2,667.1","              $11,309.92",
Gateway,06720000,"          $14,844,517.00","           1,071.0","              $13,860.43","          $16,496,175.00","           1,181.1","              $13,966.79",
Georgetown,01050000,"          $16,037,255.64","           1,604.5","               $9,995.17","          $17,443,468.82","           1,659.5","              $10,511.28",
Gill-Montague,06740000,"          $16,709,877.00","           1,030.8","              $16,210.59","          $18,674,595.00","           1,260.1","              $14,819.93",
Gloucester,01070000,"          $42,642,338.27","           3,072.1","              $13,880.52","          $48,940,070.23","           3,510.8","              $13,939.86",
Grafton,01100000,"          $28,593,037.00","           2,882.4","               $9,919.87","          $30,079,980.00","           2,989.0","              $10,063.56",
Granby,01110000,"          $11,201,887.00","           1,093.5","              $10,244.07","          $12,454,715.00","           1,150.2","              $10,828.30",
Granville,01120000,"           $2,367,920.42",             146.6,"              $16,152.25","           $3,631,385.42",             227.1,"              $15,990.25",
Greater Fall River Regional Vocational Technical,08210000,"          $24,522,795.00","           1,389.9","              $17,643.57","          $24,527,775.00","           1,390.9","              $17,634.46",
Greater Lawrence Regional Vocational Technical,08230000,"          $27,402,581.74","           1,243.8","              $22,031.34","          $28,324,928.46","           1,407.6","              $20,122.85",
Greater Lowell Regional Vocational Technical,08280000,"          $37,220,326.99","           2,105.9","              $17,674.31","          $37,479,391.26","           2,154.6","              $17,395.06",
Greater New Bedford Regional Vocational Technical,08250000,"          $37,969,150.91","           2,116.0","              $17,943.83","          $37,971,600.91","           2,116.5","              $17,940.75",
Greenfield,01140000,"          $26,188,295.00","           2,085.2","              $12,559.13","          $31,687,856.00","           2,578.3","              $12,290.21",
Groton-Dunstable,06730000,"          $30,681,380.00","           2,656.5","              $11,549.55","          $34,034,408.00","           2,775.9","              $12,260.68",
Hadley,01170000,"           $7,684,827.00",             705.8,"              $10,888.11","           $8,979,578.00",             797.0,"              $11,266.72",
Halifax,01180000,"           $5,880,800.09",             596.3,"               $9,862.15","           $7,524,344.75",             616.3,"              $12,208.90",
Hamilton-Wenham,06750000,"          $28,354,952.50","           1,942.0","              $14,600.90","          $29,166,804.71","           1,976.2","              $14,759.03",
Hampden-Wilbraham,06800000,"          $39,691,457.29","           3,446.3","              $11,517.12","          $42,993,634.41","           3,519.7","              $12,215.14",
Hampshire,06830000,"          $11,104,940.47",             792.7,"              $14,009.01","          $12,772,950.47",             894.4,"              $14,281.03",
Hancock,01210000,"             $577,442.00",              48.5,"              $11,906.02","           $1,201,458.00",             114.5,"              $10,493.08",
Hanover,01220000,"          $29,261,139.00","           2,747.8","              $10,648.93","          $30,370,278.00","           2,797.2","              $10,857.39",
Harvard,01250000,"          $16,060,654.10","           1,257.0","              $12,776.97","          $18,333,580.46","           1,311.0","              $13,984.42",
Harwich,01260000,"          $19,464,682.00","           1,285.0","              $15,147.61","          $22,373,497.26","           1,541.8","              $14,511.28",
Hatfield,01270000,"           $5,236,893.00",             485.5,"              $10,786.60","           $6,012,071.00",             542.7,"              $11,078.07",
Haverhill,01280000,"          $83,781,890.00","           7,091.0","              $11,815.24","          $96,253,942.97","           8,295.1","              $11,603.71",
Hawlemont,06850000,"           $1,616,644.52",             104.3,"              $15,499.95","           $1,781,692.12",             122.6,"              $14,532.56",
Hingham,01310000,"          $43,885,432.71","           4,134.9","              $10,613.42","          $48,094,489.26","           4,213.1","              $11,415.46",
Holbrook,01330000,"          $14,972,042.66","           1,184.3","              $12,642.10","          $17,877,418.51","           1,253.3","              $14,264.28",
Holland,01350000,"           $2,652,619.00",             222.2,"              $11,937.98","           $3,103,515.00",             226.5,"              $13,702.05",
Holliston,01360000,"          $32,933,288.69","           2,844.1","              $11,579.51","          $35,524,307.25","           2,912.3","              $12,198.02",
Holyoke,01370000,"          $88,590,578.35","           5,720.5","              $15,486.51","         $105,152,902.00","           6,697.6","              $15,700.09",
Hopedale,01380000,"          $12,658,659.12","           1,276.9","               $9,913.59","          $14,064,709.62","           1,346.1","              $10,448.49",
Hopkinton,01390000,"          $40,732,393.12","           3,402.8","              $11,970.26","          $43,435,255.66","           3,482.5","              $12,472.44",
Hudson,01410000,"          $36,477,693.22","           2,936.0","              $12,424.28","          $40,944,239.87","           3,079.8","              $13,294.45",
Hull,01420000,"          $15,756,812.52","           1,095.2","              $14,387.16","          $17,657,686.96","           1,157.8","              $15,251.07",
Ipswich,01440000,"          $23,361,184.96","           2,100.1","              $11,123.84","          $24,757,592.70","           2,143.8","              $11,548.46",
King Philip,06900000,"          $23,688,514.00","           2,107.3","              $11,241.17","          $27,079,475.00","           2,182.1","              $12,409.82",
Kingston,01450000,"           $9,589,093.51","           1,171.5","               $8,185.31","          $12,956,659.04","           1,206.9","              $10,735.49",
Lanesborough,01480000,"           $3,623,241.00",             243.1,"              $14,904.32","           $4,198,612.00",             289.6,"              $14,497.97",
Lawrence,01490000,"         $165,117,410.87","          12,895.0","              $12,804.76","         $186,742,104.06","          14,070.8","              $13,271.61",
Lee,01500000,"          $11,527,838.22",             792.8,"              $14,540.66","          $12,327,263.16",             877.6,"              $14,046.56",
Leicester,01510000,"          $18,112,926.36","           1,757.4","              $10,306.66","          $21,581,154.70","           1,879.3","              $11,483.61",
Lenox,01520000,"          $12,262,625.52",             794.2,"              $15,440.22","          $12,702,727.55",             842.8,"              $15,072.05",
Leominster,01530000,"          $71,180,482.32","           6,114.4","              $11,641.45","          $81,029,056.47","           6,624.0","              $12,232.65",
Leverett,01540000,"           $2,602,303.00",             149.7,"              $17,383.45","           $2,697,744.00",             158.7,"              $16,999.02",
Lexington,01550000,"         $101,783,050.88","           6,437.7","              $15,810.47","         $109,287,173.61","           6,534.1","              $16,725.67",
Lincoln,01570000,"          $22,428,121.38","           1,160.2","              $19,331.25","          $22,805,181.38","           1,170.1","              $19,489.94",
Lincoln-Sudbury,06950000,"          $23,508,068.73","           1,564.5","              $15,025.93","          $28,059,847.75","           1,618.2","              $17,340.16",
Littleton,01580000,"          $18,500,475.84","           1,619.2","              $11,425.69","          $22,183,408.14","           1,766.3","              $12,559.25",
Longmeadow,01590000,"          $34,793,023.65","           2,927.3","              $11,885.70","          $39,322,037.99","           2,999.4","              $13,109.97",
Lowell,01600000,"         $178,240,350.64","          13,518.1","              $13,185.31","         $194,785,278.43","          14,573.9","              $13,365.35",
Ludlow,01610000,"          $33,941,196.60","           2,865.7","              $11,843.95","          $37,385,950.65","           2,970.0","              $12,587.86",
Lunenburg,01620000,"          $17,961,260.00","           1,639.5","              $10,955.33","          $20,193,414.14","           1,763.9","              $11,448.16",
Lynn,01630000,"         $172,436,651.54","          13,661.9","              $12,621.72","         $189,471,477.54","          14,539.6","              $13,031.41",
Lynnfield,01640000,"          $26,836,948.98","           2,263.6","              $11,855.87","          $28,087,137.19","           2,299.4","              $12,214.99",
Malden,01650000,"          $76,817,677.73","           6,556.6","              $11,716.08","          $90,194,777.54","           7,421.5","              $12,153.17",
Manchester Essex Regional,06980000,"          $19,722,797.19","           1,549.1","              $12,731.78","          $21,293,174.61","           1,579.7","              $13,479.25",
Mansfield,01670000,"          $48,898,152.78","           4,617.3","              $10,590.20","          $53,708,595.04","           4,810.2","              $11,165.56",
Marblehead,01680000,"          $40,494,299.92","           3,177.2","              $12,745.28","          $43,814,964.92","           3,370.9","              $12,998.00",
Marion,01690000,"           $5,878,382.00",             469.2,"              $12,528.52","           $6,159,109.00",             474.6,"              $12,977.47",
Marlborough,01700000,"          $61,133,369.19","           4,587.9","              $13,324.91","          $71,848,856.71","           5,060.4","              $14,198.26",
Marshfield,01710000,"          $47,490,495.75","           4,560.4","              $10,413.67","          $51,263,414.75","           4,658.9","              $11,003.33",
Marthas Vineyard,07000000,"          $16,181,647.00",             666.9,"              $24,263.98","          $17,964,433.00",             715.0,"              $25,125.08",
Masconomet,07050000,"          $25,553,046.73","           2,061.2","              $12,397.17","          $27,442,979.10","           2,095.9","              $13,093.65",
Mashpee,01720000,"          $26,267,855.79","           1,744.2","              $15,060.12","          $28,512,188.79","           1,859.8","              $15,330.78",
Mattapoisett,01730000,"           $7,140,407.00",             513.9,"              $13,894.55","           $7,819,402.00",             526.1,"              $14,862.96",
Maynard,01740000,"          $17,917,916.00","           1,308.3","              $13,695.57","          $19,410,677.00","           1,404.3","              $13,822.32",
Medfield,01750000,"          $31,976,034.00","           2,832.1","              $11,290.57","          $33,832,970.00","           2,860.0","              $11,829.71",
Medford,01760000,"          $60,721,816.00","           4,799.1","              $12,652.75","          $68,389,390.00","           5,248.0","              $13,031.51",
Medway,01770000,"          $28,242,915.00","           2,568.3","              $10,996.74","          $31,409,340.32","           2,667.5","              $11,774.82",
Melrose,01780000,"          $39,559,365.26","           3,670.6","              $10,777.36","          $44,512,856.89","           3,983.0","              $11,175.71",
Mendon-Upton,07100000,"          $26,919,569.20","           2,560.2","              $10,514.64","          $30,057,256.23","           2,673.7","              $11,241.82",
Methuen,01810000,"          $77,294,308.75","           7,126.6","              $10,845.89","          $84,901,510.54","           7,340.7","              $11,565.86",
Middleborough,01820000,"          $37,972,756.50","           3,321.7","              $11,431.72","          $41,298,099.29","           3,430.4","              $12,038.86",
Middleton,01840000,"           $9,601,976.00",             806.1,"              $11,911.64","           $9,980,460.00",             816.0,"              $12,230.96",
Milford,01850000,"          $47,660,299.34","           4,139.5","              $11,513.54","          $53,488,681.04","           4,354.5","              $12,283.54",
Millbury,01860000,"          $22,540,304.00","           1,769.1","              $12,741.11","          $24,400,189.00","           1,814.9","              $13,444.37",
Millis,01870000,"          $14,404,303.12","           1,449.6","               $9,936.74","          $16,160,045.12","           1,519.1","              $10,637.91",
Milton,01890000,"          $46,082,740.89","           3,866.0","              $11,920.01","          $50,378,487.83","           3,930.8","              $12,816.34",
Minuteman Regional Vocational Technical,08300000,"          $16,715,914.16",             683.5,"              $24,456.35","          $16,728,624.16",             685.9,"              $24,389.30",
Mohawk Trail,07170000,"          $16,266,014.88","           1,050.8","              $15,479.65","          $17,882,987.94","           1,181.5","              $15,135.83",
Monson,01910000,"          $14,863,388.00","           1,305.8","              $11,382.59","          $16,113,913.00","           1,364.3","              $11,811.12",
Montachusett Regional Vocational Technical,08320000,"          $24,572,288.54","           1,401.5","              $17,532.85","          $24,755,449.35","           1,432.5","              $17,281.29",
Mount Greylock,07150000,"          $10,023,332.47",             581.0,"              $17,251.86","          $10,837,049.84",             615.6,"              $17,604.04",
Nahant,01960000,"           $2,228,933.00",             211.3,"              $10,548.67","           $4,024,961.00",             368.4,"              $10,925.52",
Nantucket,01970000,"          $25,945,391.00","           1,330.5","              $19,500.48","          $26,952,806.00","           1,341.5","              $20,091.54",
Narragansett,07200000,"          $16,838,970.94","           1,445.0","              $11,653.27","          $18,581,433.18","           1,583.0","              $11,738.11",
Nashoba,07250000,"          $42,630,662.78","           3,467.3","              $12,295.06","          $45,543,568.77","           3,590.2","              $12,685.52",
Nashoba Valley Regional Vocational Technical,08520000,"          $10,471,586.04",             691.7,"              $15,138.91","          $10,490,236.04",             695.4,"              $15,085.18",
Natick,01980000,"          $60,401,038.79","           4,928.1","              $12,256.46","          $66,755,544.00","           5,077.9","              $13,146.29",
Nauset,06600000,"          $24,168,682.82","           1,524.9","              $15,849.36","          $27,425,985.82","           1,658.1","              $16,540.61",
Needham,01990000,"          $69,911,892.23","           5,437.7","              $12,856.89","          $75,807,674.85","           5,516.6","              $13,741.74",
New Bedford,02010000,"         $159,194,669.00","          12,541.4","              $12,693.53","         $170,499,098.80","          13,262.0","              $12,856.21",
New Salem-Wendell,07280000,"           $2,120,401.00",             131.9,"              $16,075.82","           $2,206,038.00",             143.8,"              $15,341.02",
Newburyport,02040000,"          $30,915,033.66","           2,325.9","              $13,291.64","          $35,226,729.04","           2,586.0","              $13,622.09",
Newton,02070000,"         $186,678,086.00","          12,024.8","              $15,524.42","         $200,063,957.00","          12,199.1","              $16,399.89",
Norfolk,02080000,"          $11,579,945.00",             968.0,"              $11,962.75","          $12,379,420.00",             979.8,"              $12,634.64",
Norfolk County Agricultural,09150000,"           $9,781,286.24",             478.9,"              $20,424.49","           $9,781,286.24",             478.9,"              $20,424.49",
North Adams,02090000,"          $23,488,610.54","           1,547.2","              $15,181.37","          $26,103,848.54","           1,750.5","              $14,912.22",
North Andover,02110000,"          $50,697,872.71","           4,719.8","              $10,741.53","          $55,740,488.83","           4,804.0","              $11,602.93",
North Attleborough,02120000,"          $45,354,291.69","           4,643.3","               $9,767.68","          $48,340,418.30","           4,767.6","              $10,139.36",
North Brookfield,02150000,"           $7,387,410.00",             571.6,"              $12,924.09","           $8,556,304.00",             695.9,"              $12,295.31",
North Middlesex,07350000,"          $39,934,970.50","           3,780.4","              $10,563.69","          $45,725,658.57","           3,989.8","              $11,460.64",
North Reading,02170000,"          $30,886,621.43","           2,607.4","              $11,845.75","          $33,139,505.42","           2,651.5","              $12,498.40",
North Shore Regional Vocational Technical,08540000,"          $10,642,237.51",             459.7,"              $23,150.40","          $10,957,054.03",             465.3,"              $23,548.36",
Northampton,02100000,"          $32,379,171.31","           2,704.7","              $11,971.45","          $37,797,458.29","           3,017.1","              $12,527.74",
Northampton-Smith Vocational Agricultural,04060000,"           $8,166,192.40",             429.1,"              $19,030.98","           $8,173,106.40",             429.1,"              $19,047.09",
Northboro-Southboro,07300000,"          $19,267,946.68","           1,415.1","              $13,615.96","          $20,043,903.61","           1,442.0","              $13,900.07",
Northborough,02130000,"          $22,852,305.47","           1,923.3","              $11,881.82","          $24,864,577.42","           1,967.8","              $12,635.72",
Northbridge,02140000,"          $27,538,996.72","           2,545.5","              $10,818.70","          $29,947,454.71","           2,690.9","              $11,129.16",
Northeast Metropolitan Regional Vocational Technical,08530000,"          $24,050,873.00","           1,224.8","              $19,636.57","          $24,070,788.00","           1,226.3","              $19,628.79",
Northern Berkshire Regional Vocational Technical,08510000,"           $9,031,146.44",             468.3,"              $19,284.96","           $9,031,146.44",             468.3,"              $19,284.96",
Norton,02180000,"          $29,858,001.21","           2,663.6","              $11,209.64","          $36,323,251.21","           2,926.6","              $12,411.42",
Norwell,02190000,"          $26,409,482.12","           2,317.0","              $11,398.14","          $28,239,765.53","           2,338.8","              $12,074.47",
Norwood,02200000,"          $43,911,026.36","           3,438.7","              $12,769.66","          $47,395,097.29","           3,511.5","              $13,497.11",
Oak Bluffs,02210000,"           $7,737,791.00",             384.9,"              $20,103.38","           $8,375,326.00",             430.9,"              $19,436.82",
Old Colony Regional Vocational Technical,08550000,"          $10,088,577.77",             562.5,"              $17,935.25","          $10,088,577.77",             562.5,"              $17,935.25",
Old Rochester,07400000,"          $15,200,500.00","           1,152.4","              $13,190.30","          $15,240,276.00","           1,158.5","              $13,155.18",
Orange,02230000,"           $8,041,054.00",             715.8,"              $11,233.66","           $8,575,421.00",             755.4,"              $11,352.16",
Orleans,02240000,"           $4,427,531.00",             204.8,"              $21,618.80","           $4,448,295.00",             207.3,"              $21,458.25",
Oxford,02260000,"          $23,093,575.54","           1,951.4","              $11,834.36","          $24,614,825.20","           2,058.9","              $11,955.33",
Palmer,02270000,"          $17,883,559.00","           1,570.4","              $11,387.90","          $20,947,613.00","           1,670.3","              $12,541.23",
