2012Per Pupil Expenditure,,,,,,,,
District Name,District Code,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,
Abington,00010000,"          $21,852,362.22","           2,031.7","              $10,755.70","          $25,162,057.35","           2,122.5","              $11,854.92",
Acton,00020000,"          $28,246,036.00","           2,525.8","              $11,183.01","          $29,850,051.00","           2,558.0","              $11,669.29",
Acton-Boxborough,06000000,"          $36,214,463.00","           2,905.2","              $12,465.39","          $41,091,892.00","           3,000.1","              $13,696.84",
Acushnet,00030000,"          $10,623,254.36",             994.7,"              $10,679.86","          $14,575,370.32","           1,263.8","              $11,532.97",
Adams-Cheshire,06030000,"          $18,040,711.50","           1,459.3","              $12,362.58","          $19,332,754.98","           1,594.7","              $12,123.13",
Agawam,00050000,"          $48,545,142.67","           3,946.0","              $12,302.37","          $54,611,754.02","           4,076.2","              $13,397.71",
Amesbury,00070000,"          $26,730,490.00","           2,325.8","              $11,493.03","          $30,864,585.00","           2,493.8","              $12,376.53",
Amherst,00080000,"          $22,658,840.78","           1,214.7","              $18,653.86","          $23,875,205.78","           1,298.4","              $18,388.17",
Amherst-Pelham,06050000,"          $27,412,015.69","           1,535.6","              $17,851.01","          $30,251,321.69","           1,678.2","              $18,026.05",
Andover,00090000,"          $80,321,888.39","           6,272.9","              $12,804.59","          $88,178,557.89","           6,373.1","              $13,836.05",
Arlington,00100000,"          $55,970,518.81","           4,878.0","              $11,474.07","          $63,072,661.70","           5,004.6","              $12,602.94",
Ashburnham-Westminster,06100000,"          $25,827,763.36","           2,258.9","              $11,433.78","          $28,278,180.35","           2,351.3","              $12,026.62",
Ashland,00140000,"          $29,841,561.84","           2,576.1","              $11,584.01","          $32,734,234.25","           2,692.1","              $12,159.37",
Assabet Valley Regional Vocational Technical,08010000,"          $18,286,604.00","           1,053.8","              $17,353.01","          $18,310,808.00","           1,054.8","              $17,359.51",
Athol-Royalston,06150000,"          $21,965,605.81","           1,517.1","              $14,478.68","          $25,763,586.07","           1,883.5","              $13,678.57",
Attleboro,00160000,"          $65,400,659.38","           5,820.9","              $11,235.49","          $71,874,919.68","           6,234.4","              $11,528.76",
Auburn,00170000,"          $26,712,980.00","           2,331.5","              $11,457.42","          $29,634,526.00","           2,426.8","              $12,211.36",
Avon,00180000,"           $9,227,488.00",             748.5,"              $12,327.97","           $9,560,082.00",             755.4,"              $12,655.66",
Ayer Shirley School District,06160000,"          $20,324,254.00","           1,646.0","              $12,347.66","          $25,463,378.00","           1,946.7","              $13,080.28",
Barnstable,00200000,"          $59,643,425.34","           4,147.4","              $14,380.92","          $75,648,718.90","           5,577.3","              $13,563.68",
Bedford,00230000,"          $35,833,145.64","           2,460.3","              $14,564.54","          $42,485,571.64","           2,559.4","              $16,599.82",
Belchertown,00240000,"          $27,424,826.73","           2,496.3","              $10,986.19","          $29,913,321.22","           2,625.0","              $11,395.55",
Bellingham,00250000,"          $28,322,841.00","           2,479.3","              $11,423.72","          $31,000,706.00","           2,603.7","              $11,906.40",
Belmont,00260000,"          $43,830,113.06","           3,959.7","              $11,069.05","          $49,379,961.26","           4,028.0","              $12,259.18",
Berkley,00270000,"           $9,713,148.00",             882.7,"              $11,003.91","           $9,912,198.00",             893.9,"              $11,088.71",
Berkshire Hills,06180000,"          $21,684,126.77","           1,340.7","              $16,173.74","          $22,931,098.33","           1,466.9","              $15,632.35",
Berlin,00280000,"           $3,587,837.00",             216.6,"              $16,564.34","           $3,714,171.00",             226.7,"              $16,383.64",
Berlin-Boylston,06200000,"           $5,673,027.65",             418.8,"              $13,545.91","           $7,562,669.60",             505.8,"              $14,951.90",
Beverly,00300000,"          $50,829,527.00","           4,273.3","              $11,894.68","          $58,065,168.00","           4,530.1","              $12,817.63",
Billerica,00310000,"          $69,311,212.00","           5,689.0","              $12,183.37","          $77,112,821.00","           5,990.6","              $12,872.30",
Blackstone Valley Regional Vocational Technical,08050000,"          $19,838,190.34","           1,158.0","              $17,131.43","          $19,838,190.34","           1,158.0","              $17,131.43",
