2014Per Pupil Expenditure,,,,,,,,
District Name,District Code,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,
Carlisle,00510000,"          $10,796,188.66",             635.0,"              $17,001.87","          $11,367,530.12",             642.1,"              $17,703.68",
Carver,00520000,"          $22,121,154.64","           1,763.3","              $12,545.32","          $23,722,500.64","           1,812.0","              $13,091.89",
Central Berkshire,06350000,"          $26,748,351.45","           1,730.1","              $15,460.58","          $27,879,116.25","           1,886.8","              $14,775.87",
Chelmsford,00560000,"          $58,094,103.81","           5,066.3","              $11,466.77","          $66,094,946.81","           5,314.6","              $12,436.49",
Chelsea,00570000,"          $77,525,958.49","           6,057.7","              $12,797.92","          $91,345,319.76","           6,659.8","              $13,715.93",
Chesterfield-Goshen,06320000,"           $2,139,536.66",             157.6,"              $13,575.74","           $2,248,384.66",             169.0,"              $13,304.05",
Chicopee,00610000,"         $101,421,646.56","           7,590.9","              $13,360.95","         $106,686,876.63","           7,921.4","              $13,468.18",
Clarksburg,00630000,"           $2,508,265.00",             178.2,"              $14,075.56","           $3,056,674.00",             223.4,"              $13,682.52",
Clinton,00640000,"          $20,667,888.48","           1,895.4","              $10,904.24","          $26,755,982.02","           2,214.5","              $12,082.18",
Cohasset,00650000,"          $21,096,554.70","           1,608.2","              $13,118.12","          $22,714,425.30","           1,632.6","              $13,913.04",
Concord,00670000,"          $33,507,425.05","           2,168.6","              $15,451.18","          $36,402,151.73","           2,212.0","              $16,456.67",
Concord-Carlisle,06400000,"          $23,042,901.85","           1,228.3","              $18,759.99","          $26,177,435.59","           1,280.3","              $20,446.33",
Conway,00680000,"           $2,456,193.44",             171.7,"              $14,305.15","           $2,571,187.59",             180.7,"              $14,229.04",
Danvers,00710000,"          $45,936,852.85","           3,640.3","              $12,618.97","          $51,274,124.73","           3,763.2","              $13,625.14",
Dartmouth,00720000,"          $42,374,345.91","           3,726.7","              $11,370.47","          $45,390,911.21","           3,785.5","              $11,990.73",
Dedham,00730000,"          $42,796,948.44","           2,748.9","              $15,568.75","          $48,261,858.22","           2,854.7","              $16,906.11",
Deerfield,00740000,"           $5,794,639.47",             433.3,"              $13,373.27","           $6,139,664.47",             455.0,"              $13,493.77",
Dennis-Yarmouth,06450000,"          $50,536,019.37","           2,965.3","              $17,042.46","          $58,070,878.04","           3,529.3","              $16,453.94",
Dighton-Rehoboth,06500000,"          $35,329,465.59","           2,980.7","              $11,852.74","          $38,724,507.59","           3,025.2","              $12,800.64",
Douglas,00770000,"          $16,104,977.08","           1,595.7","              $10,092.73","          $17,552,477.45","           1,667.3","              $10,527.49",
Dover,00780000,"           $8,905,298.00",             508.3,"              $17,519.77","          $11,237,813.00",             526.7,"              $21,336.27",
Dover-Sherborn,06550000,"          $20,331,254.00","           1,163.1","              $17,480.23","          $21,171,361.00","           1,199.5","              $17,650.16",
Dracut,00790000,"          $38,347,059.96","           3,793.4","              $10,108.89","          $43,818,165.00","           4,017.3","              $10,907.37",
Dudley-Charlton Reg,06580000,"          $43,338,271.84","           4,046.0","              $10,711.39","          $47,165,526.86","           4,138.2","              $11,397.59",
Duxbury,00820000,"          $39,445,558.46","           3,235.8","              $12,190.36","          $41,654,151.45","           3,276.8","              $12,711.84",
East Bridgewater,00830000,"          $21,416,853.00","           2,290.1","               $9,351.93","          $24,422,782.00","           2,365.9","              $10,322.83",
East Longmeadow,00870000,"          $33,426,820.33","           2,692.7","              $12,413.87","          $36,980,020.92","           2,776.5","              $13,318.93",
Eastham,00850000,"           $4,666,714.00",             204.6,"              $22,808.96","           $4,910,815.00",             218.3,"              $22,495.72",
Easthampton,00860000,"          $18,154,240.00","           1,563.9","              $11,608.31","          $22,690,759.98","           1,873.7","              $12,110.14",
Easton,00880000,"          $43,026,795.98","           3,820.5","              $11,262.09","          $46,541,936.00","           3,890.8","              $11,962.05",
Edgartown,00890000,"           $8,730,378.50",             357.8,"              $24,400.16","           $9,624,365.50",             424.7,"              $22,661.56",
Erving,00910000,"           $3,422,118.00",             146.6,"              $23,343.23","           $4,845,611.00",             261.8,"              $18,508.83",
Essex Agricultural Technical,09130000,"          $11,054,387.00",             467.4,"              $23,650.81","          $11,054,387.00",             467.4,"              $23,650.81",
Everett,00930000,"          $83,504,225.00","           6,847.4","              $12,195.03","          $98,198,013.00","           7,486.4","              $13,116.85",
Fairhaven,00940000,"          $24,101,870.03","           1,974.1","              $12,209.04","          $26,735,861.25","           2,031.9","              $13,158.06",
Fall River,00950000,"         $134,530,461.00","          10,269.7","              $13,099.75","         $152,190,789.00","          11,245.0","              $13,534.09",
Falmouth,00960000,"          $51,656,234.00","           3,521.9","              $14,667.15","          $57,657,135.67","           3,693.5","              $15,610.43",
Farmington River Reg,06620000,"           $3,452,837.00",             129.4,"              $26,683.44","           $4,696,431.00",             284.0,"              $16,536.73",
Fitchburg,00970000,"          $65,841,185.54","           4,920.2","              $13,381.81","          $77,167,786.04","           5,639.6","              $13,683.20",
Florida,00980000,"           $1,658,767.00",              93.5,"              $17,740.82","           $1,880,225.00",             112.3,"              $16,742.88",
Foxborough,00990000,"          $37,201,364.22","           2,699.8","              $13,779.30","          $40,518,297.71","           2,835.9","              $14,287.63",
Framingham,01000000,"         $130,599,673.00","           8,307.8","              $15,720.13","         $152,183,350.00","           8,899.8","              $17,099.64",
Franklin,01010000,"          $63,469,157.85","           5,732.2","              $11,072.39","          $74,316,919.99","           6,251.6","              $11,887.66",
Franklin County Regional Vocational Technical,08180000,"          $12,074,596.20",             499.0,"              $24,197.59","          $12,079,596.20",             500.0,"              $24,159.19",
Freetown-Lakeville,06650000,"          $31,756,503.00","           2,950.4","              $10,763.46","          $34,699,035.00","           3,008.6","              $11,533.28",
Frontier,06700000,"          $10,279,747.00",             617.0,"              $16,660.85","          $12,055,749.00",             704.8,"              $17,105.21",
Gardner,01030000,"          $29,588,271.03","           2,423.7","              $12,207.89","          $31,781,679.14","           2,624.5","              $12,109.61",
Gateway,06720000,"          $14,923,480.00",             981.4,"              $15,206.32","          $16,534,374.31","           1,110.2","              $14,893.15",
Georgetown,01050000,"          $16,725,721.00","           1,512.7","              $11,056.87","          $18,452,617.00","           1,563.5","              $11,802.12",
Gill-Montague,06740000,"          $17,328,038.35","           1,006.2","              $17,221.27","          $19,949,944.07","           1,270.8","              $15,698.73",
Gloucester,01070000,"          $45,428,992.50","           3,046.2","              $14,913.33","          $51,091,776.44","           3,410.6","              $14,980.29",
Grafton,01100000,"          $31,123,563.45","           3,021.2","              $10,301.72","          $33,305,949.41","           3,137.9","              $10,614.09",
Granby,01110000,"          $10,952,635.00",             935.1,"              $11,712.80","          $12,929,905.82","           1,003.0","              $12,891.23",
Greater Fall River Regional Vocational Technical,08210000,"          $25,598,652.00","           1,436.5","              $17,820.15","          $25,603,652.00","           1,437.5","              $17,811.24",
Greater Lawrence Regional Vocational Technical,08230000,"          $27,912,188.24","           1,304.1","              $21,403.41","          $28,780,814.92","           1,463.0","              $19,672.46",
Greater Lowell Regional Vocational Technical,08280000,"          $40,022,500.67","           2,099.8","              $19,060.15","          $40,228,906.67","           2,138.0","              $18,816.14",
Greater New Bedford Regional Vocational Technical,08250000,"          $38,199,191.33","           2,130.1","              $17,933.05","          $38,211,204.33","           2,131.9","              $17,923.54",
Greenfield,01140000,"          $25,183,709.00","           1,691.0","              $14,892.79","          $31,382,297.74","           2,165.4","              $14,492.61",
Groton-Dunstable,06730000,"          $32,068,973.00","           2,602.6","              $12,321.90","          $35,394,990.00","           2,704.4","              $13,087.93",
Hadley,01170000,"           $7,498,456.61",             626.9,"              $11,961.17","           $9,160,836.53",             758.4,"              $12,079.16",
Halifax,01180000,"           $6,142,262.54",             569.8,"              $10,779.68","           $8,015,956.75",             599.0,"              $13,382.23",
Hamilton-Wenham,06750000,"          $27,385,938.18","           1,890.7","              $14,484.55","          $29,184,512.83","           1,921.7","              $15,186.82",
Hampden-Wilbraham,06800000,"          $41,819,838.91","           3,306.4","              $12,648.15","          $44,926,498.18","           3,366.7","              $13,344.37",
Hampshire,06830000,"          $11,300,272.00",             755.1,"              $14,965.27","          $13,116,533.53",             870.3,"              $15,071.28",
Hancock,01210000,"             $669,425.00",              46.9,"              $14,273.45","           $1,288,472.00",             102.4,"              $12,582.73",
Hanover,01220000,"          $30,781,059.53","           2,665.2","              $11,549.25","          $32,206,219.33","           2,725.2","              $11,817.93",
Harvard,01250000,"          $16,419,494.96","           1,169.9","              $14,034.96","          $19,033,856.07","           1,226.2","              $15,522.64",
Hatfield,01270000,"           $5,640,493.00",             450.6,"              $12,517.74","           $6,544,007.00",             516.9,"              $12,660.10",
Haverhill,01280000,"          $87,490,593.93","           7,139.9","              $12,253.76","         $102,691,948.17","           8,352.6","              $12,294.61",
Hawlemont,06850000,"           $1,695,496.00",              97.5,"              $17,389.70","           $1,825,847.00",             114.0,"              $16,016.20",
Hingham,01310000,"          $45,976,978.56","           4,207.1","              $10,928.43","          $49,965,020.00","           4,279.4","              $11,675.71",
Holbrook,01330000,"          $15,018,719.82","           1,219.4","              $12,316.48","          $18,228,850.82","           1,292.2","              $14,106.83",
Holland,01350000,"           $2,620,270.00",             236.6,"              $11,074.68","           $3,158,147.00",             237.6,"              $13,291.86",
Holliston,01360000,"          $34,034,765.41","           2,821.5","              $12,062.65","          $37,549,494.16","           2,891.6","              $12,985.72",
Holyoke,01370000,"          $91,909,525.06","           5,444.6","              $16,880.86","         $110,234,738.81","           6,589.5","              $16,728.85",
Hopedale,01380000,"          $13,941,477.00","           1,261.5","              $11,051.51","          $15,096,891.00","           1,328.3","              $11,365.57",
Hopkinton,01390000,"          $43,458,211.19","           3,437.3","              $12,643.12","          $46,008,818.53","           3,510.4","              $13,106.43",
Hudson,01410000,"          $39,193,218.59","           2,934.7","              $13,355.10","          $43,971,655.55","           3,079.1","              $14,280.68",
Hull,01420000,"          $17,047,097.17","           1,058.0","              $16,112.57","          $18,651,151.17","           1,113.5","              $16,750.02",
Ipswich,01440000,"          $24,833,896.27","           1,983.7","              $12,518.98","          $26,821,067.30","           2,038.0","              $13,160.48",
King Philip,06900000,"          $24,573,757.05","           2,084.9","              $11,786.54","          $29,036,180.00","           2,161.5","              $13,433.35",
Kingston,01450000,"          $10,069,553.60","           1,130.1","               $8,910.32","          $13,042,138.31","           1,172.5","              $11,123.36",
Lanesborough,01480000,"           $3,854,126.67",             202.5,"              $19,032.72","           $4,273,765.76",             225.7,"              $18,935.60",
Lawrence,01490000,"         $185,650,331.23","          13,598.4","              $13,652.37","         $211,255,649.16","          15,060.4","              $14,027.23",
Lee,01500000,"          $11,994,610.57",             715.5,"              $16,763.96","          $12,805,465.30",             817.7,"              $15,660.35",
Leicester,01510000,"          $17,849,223.00","           1,612.3","              $11,070.66","          $21,760,548.00","           1,755.0","              $12,399.17",
Lenox,01520000,"          $12,806,878.71",             744.9,"              $17,192.75","          $13,314,253.89",             805.7,"              $16,525.08",
Leominster,01530000,"          $76,643,802.30","           6,117.8","              $12,528.00","          $86,324,028.39","           6,637.1","              $13,006.29",
Leverett,01540000,"           $2,585,718.00",             123.5,"              $20,936.99","           $2,629,725.00",             132.5,"              $19,846.98",
Lexington,01550000,"         $108,594,834.18","           6,599.8","              $16,454.26","         $116,631,130.50","           6,697.9","              $17,413.09",
Lincoln,01570000,"          $24,429,021.10","           1,232.3","              $19,823.92","          $24,809,606.10","           1,246.0","              $19,911.40",
Lincoln-Sudbury,06950000,"          $24,933,460.79","           1,597.4","              $15,608.78","          $30,070,296.79","           1,659.9","              $18,115.73",
Littleton,01580000,"          $19,493,652.59","           1,582.5","              $12,318.26","          $23,350,222.35","           1,707.0","              $13,679.10",
Longmeadow,01590000,"          $36,301,700.59","           2,836.8","              $12,796.71","          $40,589,308.67","           2,897.5","              $14,008.39",
Lowell,01600000,"         $185,227,283.56","          13,829.7","              $13,393.44","         $207,278,432.10","          15,222.2","              $13,616.85",
Ludlow,01610000,"          $35,268,786.27","           2,776.6","              $12,702.15","          $37,961,755.61","           2,870.5","              $13,224.79",
Lunenburg,01620000,"          $18,037,770.36","           1,565.6","              $11,521.31","          $21,116,328.44","           1,705.1","              $12,384.22",
Lynn,01630000,"         $184,399,370.61","          14,461.2","              $12,751.32","         $207,414,462.61","          15,685.7","              $13,223.16",
Lynnfield,01640000,"          $29,130,713.00","           2,195.2","              $13,270.19","          $29,836,098.00","           2,218.7","              $13,447.56",
Malden,01650000,"          $84,201,963.76","           6,502.0","              $12,950.16","         $100,782,883.49","           7,450.7","              $13,526.63",
Manchester Essex Regional,06980000,"          $22,026,713.31","           1,541.6","              $14,288.22","          $23,512,991.96","           1,580.9","              $14,873.17",
Mansfield,01670000,"          $53,096,838.53","           4,290.2","              $12,376.31","          $57,600,785.75","           4,487.1","              $12,836.97",
Marblehead,01680000,"          $42,870,423.00","           3,292.5","              $13,020.63","          $46,265,103.00","           3,500.2","              $13,217.85",
Marion,01690000,"           $6,271,656.75",             452.2,"              $13,869.21","           $6,921,850.75",             463.6,"              $14,930.65",
Marlborough,01700000,"          $65,273,860.60","           4,576.5","              $14,262.83","          $77,243,201.38","           5,156.0","              $14,981.23",
Marshfield,01710000,"          $48,383,104.06","           4,365.3","              $11,083.57","          $53,484,499.39","           4,477.0","              $11,946.50",
Marthas Vineyard,07000000,"          $17,180,286.00",             681.9,"              $25,194.73","          $19,045,724.00",             730.4,"              $26,075.74",
Masconomet,07050000,"          $26,882,243.72","           2,016.7","              $13,329.82","          $29,390,093.83","           2,060.2","              $14,265.65",
Mashpee,01720000,"          $26,027,320.00","           1,681.0","              $15,483.24","          $28,861,958.92","           1,818.3","              $15,873.05",
Mattapoisett,01730000,"           $7,256,958.71",             507.5,"              $14,299.43","           $8,055,019.71",             521.4,"              $15,448.83",
Maynard,01740000,"          $19,730,022.00","           1,391.1","              $14,183.04","          $21,001,755.00","           1,485.4","              $14,138.79",
Medfield,01750000,"          $33,267,553.00","           2,656.4","              $12,523.55","          $35,148,664.00","           2,688.3","              $13,074.68",
Medford,01760000,"          $64,010,800.48","           4,541.5","              $14,094.64","          $73,394,159.84","           4,981.5","              $14,733.35",
Medway,01770000,"          $29,001,873.37","           2,434.6","              $11,912.38","          $32,022,478.56","           2,536.0","              $12,627.16",
Melrose,01780000,"          $41,762,083.85","           3,672.4","              $11,371.88","          $47,405,265.52","           3,978.6","              $11,915.06",
Mendon-Upton,07100000,"          $29,338,139.53","           2,389.6","              $12,277.43","          $32,843,055.61","           2,515.7","              $13,055.24",
Methuen,01810000,"          $80,501,318.00","           6,909.4","              $11,650.99","          $89,273,201.21","           7,152.6","              $12,481.22",
Middleborough,01820000,"          $39,738,694.30","           3,192.0","              $12,449.47","          $42,421,672.47","           3,294.9","              $12,874.95",
Middleton,01840000,"          $10,578,865.05",             769.4,"              $13,749.50","          $10,729,933.53",             773.0,"              $13,880.90",
Milford,01850000,"          $50,810,381.21","           4,151.4","              $12,239.34","          $56,823,261.97","           4,405.9","              $12,897.08",
Millbury,01860000,"          $23,822,023.18","           1,726.8","              $13,795.47","          $26,004,261.18","           1,781.5","              $14,596.83",
Millis,01870000,"          $16,721,496.00","           1,400.6","              $11,938.81","          $18,166,309.31","           1,463.4","              $12,413.77",
Milton,01890000,"          $49,440,350.35","           3,923.9","              $12,599.80","          $53,904,488.36","           3,993.2","              $13,499.07",
Minuteman Regional Vocational Technical,08300000,"          $18,466,094.94",             730.2,"              $25,289.09","          $18,546,392.94",             731.2,"              $25,364.32",
Mohawk Trail,07170000,"          $16,734,756.00",             948.1,"              $17,650.83","          $18,303,105.00","           1,084.1","              $16,883.23",
Monomoy Regional School District,07120000,"          $30,495,737.49","           1,886.5","              $16,165.25","          $34,089,395.83","           2,162.9","              $15,760.97",
Monson,01910000,"          $14,766,918.00","           1,177.2","              $12,544.10","          $16,154,976.00","           1,239.6","              $13,032.41",
Montachusett Regional Vocational Technical,08320000,"          $26,303,538.36","           1,412.8","              $18,618.02","          $26,518,789.36","           1,449.9","              $18,290.08",
Mount Greylock,07150000,"          $10,307,956.08",             558.8,"              $18,446.59","          $11,060,045.19",             597.8,"              $18,501.25",
Nahant,01960000,"           $2,471,475.00",             180.7,"              $13,677.23","           $4,343,536.00",             335.1,"              $12,961.91",
Nantucket,01970000,"          $28,880,886.00","           1,486.1","              $19,434.01","          $29,918,673.00","           1,495.0","              $20,012.49",
Narragansett,07200000,"          $17,575,289.75","           1,335.6","              $13,159.10","          $20,887,528.75","           1,496.4","              $13,958.52",
Nashoba,07250000,"          $45,734,775.41","           3,402.8","              $13,440.34","          $48,596,684.57","           3,560.5","              $13,648.84",
Nashoba Valley Regional Vocational Technical,08520000,"          $11,735,153.92",             721.6,"              $16,262.69","          $11,771,187.80",             728.2,"              $16,164.77",
Natick,01980000,"          $66,120,934.00","           5,266.8","              $12,554.29","          $73,714,556.00","           5,440.3","              $13,549.72",
Nauset,06600000,"          $26,574,102.00","           1,574.9","              $16,873.52","          $30,289,877.00","           1,709.1","              $17,722.71",
Needham,01990000,"          $78,306,270.54","           5,528.4","              $14,164.36","          $84,240,441.96","           5,608.6","              $15,019.87",
New Bedford,02010000,"         $160,167,396.00","          12,679.5","              $12,632.00","         $173,166,826.00","          13,537.3","              $12,791.83",
New Salem-Wendell,07280000,"           $2,275,634.00",             132.6,"              $17,161.64","           $2,313,776.00",             138.7,"              $16,681.87",
Newburyport,02040000,"          $31,838,640.09","           2,327.2","              $13,681.09","          $36,610,471.26","           2,601.5","              $14,072.83",
Newton,02070000,"         $207,517,383.00","          12,456.5","              $16,659.37","         $221,922,627.00","          12,623.1","              $17,580.68",
Norfolk,02080000,"          $12,115,608.00",             921.8,"              $13,143.42","          $12,943,491.00",             936.1,"              $13,827.04",
Norfolk County Agricultural,09150000,"          $10,211,145.66",             459.7,"              $22,212.63","          $10,211,145.66",             459.7,"              $22,212.63",
North Adams,02090000,"          $23,116,866.73","           1,497.7","              $15,434.91","          $26,223,968.86","           1,693.6","              $15,484.16",
North Andover,02110000,"          $52,255,626.00","           4,789.0","              $10,911.59","          $58,094,147.00","           4,886.2","              $11,889.43",
North Attleborough,02120000,"          $48,093,232.98","           4,586.0","              $10,486.97","          $51,489,265.39","           4,724.6","              $10,898.12",
North Brookfield,02150000,"           $7,672,363.38",             565.6,"              $13,565.00","           $8,990,349.01",             698.8,"              $12,865.41",
North Middlesex,07350000,"          $42,302,644.50","           3,386.5","              $12,491.55","          $47,667,024.50","           3,625.6","              $13,147.35",
North Reading,02170000,"          $32,563,563.62","           2,592.9","              $12,558.74","          $35,090,941.24","           2,640.2","              $13,291.02",
North Shore Regional Vocational Technical,08540000,"          $11,457,287.18",             450.8,"              $25,415.46","          $11,601,202.18",             466.4,"              $24,873.93",
Northampton,02100000,"          $34,628,662.00","           2,732.1","              $12,674.74","          $40,116,101.00","           3,039.5","              $13,198.26",
Northampton-Smith Vocational Agricultural,04060000,"           $9,105,390.90",             411.9,"              $22,105.83","           $9,105,390.90",             411.9,"              $22,105.83",
Northboro-Southboro,07300000,"          $20,049,747.71","           1,454.3","              $13,786.53","          $20,976,177.59","           1,488.9","              $14,088.37",
Northborough,02130000,"          $24,666,555.60","           1,798.1","              $13,718.12","          $26,719,104.96","           1,850.4","              $14,439.64",
Northbridge,02140000,"          $29,492,474.12","           2,533.6","              $11,640.54","          $32,485,111.02","           2,676.8","              $12,135.80",
Northeast Metropolitan Regional Vocational Technical,08530000,"          $25,295,342.00","           1,234.8","              $20,485.38","          $25,295,342.00","           1,234.8","              $20,485.38",
Northern Berkshire Regional Vocational Technical,08510000,"           $9,709,705.00",             492.1,"              $19,731.16","           $9,722,001.00",             494.1,"              $19,676.18",
Norton,02180000,"          $29,441,832.21","           2,657.9","              $11,077.10","          $35,782,551.03","           2,895.2","              $12,359.27",
Norwell,02190000,"          $29,772,380.43","           2,241.9","              $13,279.98","          $31,940,301.58","           2,273.8","              $14,047.10",
Norwood,02200000,"          $47,903,794.08","           3,411.6","              $14,041.45","          $52,591,178.00","           3,497.3","              $15,037.65",
Oak Bluffs,02210000,"           $7,975,836.81",             383.7,"              $20,786.65","           $8,848,214.27",             450.3,"              $19,649.60",
Old Colony Regional Vocational Technical,08550000,"          $10,473,909.39",             565.7,"              $18,514.95","          $10,473,909.39",             565.7,"              $18,514.95",
Old Rochester,07400000,"          $17,027,361.15","           1,218.2","              $13,977.48","          $17,079,859.15","           1,223.8","              $13,956.41",
Orange,02230000,"           $8,343,713.00",             656.4,"              $12,711.32","           $8,886,113.24",             705.9,"              $12,588.35",
Orleans,02240000,"           $4,895,193.00",             207.2,"              $23,625.45","           $5,110,820.00",             220.8,"              $23,146.83",
Oxford,02260000,"          $24,188,008.21","           1,869.1","              $12,940.99","          $25,872,547.18","           1,979.3","              $13,071.56",
Palmer,02270000,"          $18,434,063.48","           1,444.4","              $12,762.44","          $21,425,960.48","           1,536.5","              $13,944.65",
Pathfinder Regional Vocational Technical,08600000,"          $13,953,336.16",             605.6,"              $23,040.52","          $14,044,634.16",             620.5,"              $22,634.38",
Peabody,02290000,"          $76,480,298.00","           6,132.6","              $12,471.10","          $84,869,845.00","           6,387.4","              $13,287.07",
