2014Per Pupil Expenditure,,,,,,,,
District Name,District Code,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,
Abington,00010000,"          $22,779,478.72","           1,943.1","              $11,723.27","          $26,449,957.74","           2,036.7","              $12,986.67",
Acton,00020000,"          $29,598,949.00","           2,453.3","              $12,064.95","          $31,443,134.00","           2,500.7","              $12,573.73",
Acton-Boxborough,06000000,"          $39,206,997.00","           2,882.3","              $13,602.68","          $44,631,077.00","           2,987.9","              $14,937.27",
Acushnet,00030000,"          $10,519,233.82",             980.1,"              $10,732.82","          $14,898,617.95","           1,285.6","              $11,588.84",
Adams-Cheshire,06030000,"          $18,417,242.45","           1,375.0","              $13,394.36","          $19,638,935.95","           1,511.8","              $12,990.43",
Agawam,00050000,"          $51,605,213.40","           4,046.9","              $12,751.79","          $56,982,676.00","           4,175.5","              $13,646.91",
Amesbury,00070000,"          $29,444,378.36","           2,342.1","              $12,571.79","          $33,262,564.52","           2,511.6","              $13,243.58",
Amherst,00080000,"          $23,718,709.00","           1,196.7","              $19,820.10","          $25,190,862.00","           1,287.1","              $19,571.80",
Amherst-Pelham,06050000,"          $28,550,305.11","           1,470.3","              $19,418.01","          $31,689,928.11","           1,619.0","              $19,573.77",
Andover,00090000,"          $88,382,810.00","           6,169.9","              $14,324.84","          $95,109,234.00","           6,263.2","              $15,185.41",
Arlington,00100000,"          $60,561,631.70","           5,080.1","              $11,921.35","          $68,448,291.54","           5,231.1","              $13,084.88",
Ashburnham-Westminster,06100000,"          $27,764,093.98","           2,282.1","              $12,166.03","          $29,819,883.62","           2,364.5","              $12,611.50",
Ashland,00140000,"          $32,524,969.99","           2,569.0","              $12,660.56","          $35,918,502.45","           2,706.6","              $13,270.71",
Assabet Valley Regional Vocational Technical,08010000,"          $19,245,936.00","           1,046.5","              $18,390.77","          $19,264,364.00","           1,048.1","              $18,380.27",
Athol-Royalston,06150000,"          $19,653,583.41","           1,407.1","              $13,967.44","          $23,706,983.66","           1,772.1","              $13,377.90",
Attleboro,00160000,"          $71,282,821.27","           5,785.7","              $12,320.52","          $79,747,260.78","           6,241.4","              $12,777.14",
Auburn,00170000,"          $29,732,144.00","           2,318.9","              $12,821.66","          $31,953,462.00","           2,392.9","              $13,353.45",
Avon,00180000,"           $9,785,048.00",             737.4,"              $13,269.66","          $10,026,884.00",             746.2,"              $13,437.26",
Ayer Shirley School District,06160000,"          $21,834,542.00","           1,653.2","              $13,207.44","          $26,371,572.00","           1,946.6","              $13,547.50",
Barnstable,00200000,"          $72,242,394.46","           4,885.5","              $14,787.10","          $82,800,895.32","           5,547.7","              $14,925.27",
Bedford,00230000,"          $38,302,452.23","           2,532.7","              $15,123.17","          $45,341,396.66","           2,632.2","              $17,225.67",
Belchertown,00240000,"          $27,906,896.91","           2,406.4","              $11,596.95","          $30,568,120.79","           2,557.9","              $11,950.48",
Bellingham,00250000,"          $29,949,725.00","           2,379.2","              $12,588.15","          $32,955,169.00","           2,539.1","              $12,979.07",
Belmont,00260000,"          $48,719,773.94","           4,190.3","              $11,626.80","          $54,675,498.33","           4,271.8","              $12,799.17",
Berkley,00270000,"          $10,039,478.00",             871.7,"              $11,517.13","          $10,342,142.00",             882.7,"              $11,716.49",
Berkshire Hills,06180000,"          $22,764,572.69","           1,383.2","              $16,457.90","          $24,238,734.47","           1,492.2","              $16,243.62",
Berlin,00280000,"           $3,763,292.39",             201.2,"              $18,704.24","           $3,830,979.89",             207.2,"              $18,489.29",
Berlin-Boylston,06200000,"           $6,910,202.77",             544.6,"              $12,688.58","           $8,775,932.76",             629.0,"              $13,952.20",
Beverly,00300000,"          $53,022,146.61","           4,379.9","              $12,105.79","          $60,313,819.70","           4,597.8","              $13,117.97",
Billerica,00310000,"          $72,387,742.00","           5,299.9","              $13,658.32","          $81,139,710.00","           5,640.7","              $14,384.69",
Blackstone Valley Regional Vocational Technical,08050000,"          $21,307,397.98","           1,169.8","              $18,214.56","          $21,307,397.98","           1,169.8","              $18,214.56",
Blackstone-Millville,06220000,"          $21,193,220.00","           1,836.7","              $11,538.75","          $23,613,800.32","           1,934.9","              $12,204.15",
Blue Hills Regional Vocational Technical,08060000,"          $18,032,830.49",             850.9,"              $21,192.66","          $18,035,980.49",             851.5,"              $21,181.42",
Boston,00350000,"       $1,083,170,975.05","          56,476.6","              $19,179.11","       $1,241,123,771.51","          64,626.7","              $19,204.50",
Bourne,00360000,"          $29,479,764.34","           2,037.5","              $14,468.60","          $32,814,386.50","           2,224.1","              $14,754.01",
Boxborough,00370000,"           $7,000,510.00",             432.4,"              $16,189.89","           $7,444,371.00",             445.2,"              $16,721.41",
Boxford,00380000,"          $11,126,268.00",             751.8,"              $14,799.51","          $11,565,279.00",             764.8,"              $15,121.97",
Boylston,00390000,"           $3,856,729.85",             313.7,"              $12,294.33","           $4,287,057.15",             340.7,"              $12,583.09",
Braintree,00400000,"          $69,173,106.67","           5,701.4","              $12,132.65","          $75,927,365.72","           5,810.4","              $13,067.49",
Brewster,00410000,"           $9,659,417.00",             458.0,"              $21,090.43","           $9,909,517.00",             477.9,"              $20,735.55",
Bridgewater-Raynham,06250000,"          $61,310,623.00","           5,386.0","              $11,383.33","          $67,956,106.00","           5,618.1","              $12,095.92",
Brimfield,00430000,"           $3,971,881.00",             301.8,"              $13,160.64","           $4,730,767.00",             308.9,"              $15,314.88",
Bristol County Agricultural,09100000,"           $8,844,963.84",             446.6,"              $19,805.11","           $8,845,822.34",             446.6,"              $19,807.04",
Bristol-Plymouth Regional Vocational Technical,08100000,"          $22,989,876.68","           1,279.5","              $17,967.86","          $23,011,976.68","           1,283.9","              $17,923.50",
Brockton,00440000,"         $226,106,824.78","          16,745.1","              $13,502.87","         $245,661,441.65","          17,397.6","              $14,120.42",
Brookfield,00450000,"           $3,713,517.00",             316.7,"              $11,725.66","           $3,976,709.00",             324.6,"              $12,251.11",
Brookline,00460000,"         $121,245,291.73","           7,268.6","              $16,680.69","         $126,997,190.73","           7,344.8","              $17,290.76",
Burlington,00480000,"          $57,456,902.08","           3,545.0","              $16,207.87","          $64,482,437.83","           3,643.0","              $17,700.37",
Cambridge,00490000,"         $163,097,594.23","           6,364.2","              $25,627.35","         $188,030,670.47","           6,922.4","              $27,162.64",
Canton,00500000,"          $42,832,525.00","           3,230.6","              $13,258.38","          $47,410,063.00","           3,317.5","              $14,290.90",
Cape Cod Regional Vocational Technical,08150000,"          $14,829,946.76",             638.9,"              $23,211.69","          $14,829,946.76",             638.9,"              $23,211.69",
