2011Per Pupil Expenditure,,,,,,,,
District Name,District Code,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,
Canton,00500000,"          $39,112,011.00","           3,123.7","              $12,521.05","          $42,689,104.00","           3,182.5","              $13,413.70",
Cape Cod Regional Vocational Technical,08150000,"          $14,136,392.12",             684.9,"              $20,640.08","          $14,136,392.12",             684.9,"              $20,640.08",
Carlisle,00510000,"          $10,267,468.76",             677.7,"              $15,150.46","          $10,941,038.44",             688.1,"              $15,900.36",
Carver,00520000,"          $21,169,721.40","           1,869.3","              $11,324.95","          $23,366,833.40","           1,924.2","              $12,143.66",
Central Berkshire,06350000,"          $25,751,985.24","           1,934.0","              $13,315.40","          $27,259,481.95","           2,100.6","              $12,977.00",
Chatham,00550000,"          $11,492,979.96",             696.6,"              $16,498.68","          $11,980,474.96",             760.7,"              $15,749.28",
Chelmsford,00560000,"          $52,756,493.42","           5,390.2","               $9,787.48","          $62,452,163.24","           5,652.4","              $11,048.79",
Chelsea,00570000,"          $71,483,067.68","           5,512.4","              $12,967.69","          $80,148,004.02","           5,846.9","              $13,707.78",
Chesterfield-Goshen,06320000,"           $1,994,783.00",             169.0,"              $11,803.45","           $2,206,054.00",             191.2,"              $11,537.94",
Chicopee,00610000,"          $97,994,590.75","           7,806.7","              $12,552.63","         $102,067,985.75","           8,040.0","              $12,695.02",
Clarksburg,00630000,"           $2,324,923.00",             185.4,"              $12,540.04","           $3,160,041.00",             257.1,"              $12,291.10",
Clinton,00640000,"          $21,699,437.21","           1,960.1","              $11,070.58","          $25,913,314.33","           2,207.5","              $11,738.76",
Cohasset,00650000,"          $19,359,713.99","           1,541.4","              $12,559.82","          $20,751,007.08","           1,569.3","              $13,223.10",
Concord,00670000,"          $30,115,247.65","           1,943.7","              $15,493.77","          $32,921,791.04","           1,978.8","              $16,637.25",
Concord-Carlisle,06400000,"          $21,308,878.36","           1,202.5","              $17,720.48","          $25,029,831.56","           1,247.4","              $20,065.60",
Conway,00680000,"           $2,263,326.14",             179.3,"              $12,623.12","           $2,458,161.14",             192.2,"              $12,789.60",
Danvers,00710000,"          $43,468,637.28","           3,644.9","              $11,925.88","          $48,208,076.72","           3,761.5","              $12,816.18",
Dartmouth,00720000,"          $40,756,660.80","           3,948.1","              $10,323.11","          $43,318,594.84","           3,997.1","              $10,837.51",
Dedham,00730000,"          $41,026,686.98","           2,866.6","              $14,311.97","          $45,782,841.40","           2,961.6","              $15,458.82",
Deerfield,00740000,"           $5,614,319.84",             478.2,"              $11,740.53","           $5,918,840.84",             504.9,"              $11,722.80",
Dennis-Yarmouth,06450000,"          $45,060,497.26","           3,128.9","              $14,401.39","          $51,242,787.51","           3,624.1","              $14,139.45",
Dighton-Rehoboth,06500000,"          $34,704,998.58","           3,174.0","              $10,934.15","          $37,574,912.01","           3,231.5","              $11,627.70",
Douglas,00770000,"          $16,455,568.00","           1,721.6","               $9,558.30","          $17,184,449.00","           1,776.4","               $9,673.75",
Dover,00780000,"           $8,143,132.09",             552.4,"              $14,741.37","           $9,833,657.09",             558.5,"              $17,607.26",
Dover-Sherborn,06550000,"          $19,028,032.23","           1,140.4","              $16,685.40","          $19,408,257.23","           1,176.6","              $16,495.20",
Dracut,00790000,"          $38,589,027.00","           4,029.3","               $9,577.10","          $42,375,106.00","           4,166.8","              $10,169.70",
Dudley-Charlton Reg,06580000,"          $42,224,346.00","           4,265.2","               $9,899.73","          $45,095,452.00","           4,358.0","              $10,347.74",
Duxbury,00820000,"          $35,773,954.63","           3,173.9","              $11,271.29","          $37,550,982.73","           3,201.5","              $11,729.18",
East Bridgewater,00830000,"          $22,271,650.44","           2,303.0","               $9,670.71","          $25,074,972.56","           2,389.1","              $10,495.57",
East Longmeadow,00870000,"          $31,143,340.00","           2,843.5","              $10,952.47","          $34,464,073.40","           2,927.7","              $11,771.72",
Eastham,00850000,"           $4,316,044.00",             215.6,"              $20,018.76","           $4,565,410.00",             236.4,"              $19,312.23",
Easthampton,00860000,"          $19,692,288.00","           1,584.0","              $12,432.00","          $23,202,409.00","           1,893.6","              $12,253.07",
Easton,00880000,"          $40,150,834.88","           3,858.0","              $10,407.16","          $42,840,220.88","           3,922.3","              $10,922.22",
Edgartown,00890000,"           $7,675,381.00",             335.2,"              $22,897.91","           $8,773,443.00",             415.9,"              $21,095.08",
Erving,00910000,"           $3,014,794.00",             153.8,"              $19,602.04","           $4,467,606.45",             284.0,"              $15,731.01",
Essex Agricultural Technical,09130000,"          $10,842,213.70",             476.6,"              $22,749.08","          $10,842,213.70",             476.6,"              $22,749.08",
Everett,00930000,"          $67,256,287.00","           6,105.4","              $11,015.87","          $80,589,165.00","           6,689.2","              $12,047.65",
Fairhaven,00940000,"          $21,451,445.46","           2,021.5","              $10,611.65","          $23,434,170.97","           2,061.7","              $11,366.43",
Fall River,00950000,"         $128,918,560.00","           9,852.9","              $13,084.33","         $145,177,266.00","          10,714.0","              $13,550.24",
Falmouth,00960000,"          $49,873,444.00","           3,703.0","              $13,468.39","          $54,653,763.00","           3,844.4","              $14,216.46",
Farmington River Reg,06620000,"           $2,933,498.00",             149.4,"              $19,635.19","           $4,231,563.00",             300.5,"              $14,081.74",
Fitchburg,00970000,"          $58,938,617.73","           4,865.1","              $12,114.57","          $69,967,337.70","           5,579.4","              $12,540.30",
Florida,00980000,"           $1,346,669.12",             111.0,"              $12,132.15","           $1,598,597.12",             128.9,"              $12,401.84",
Foxborough,00990000,"          $34,687,644.60","           2,816.4","              $12,316.31","          $37,975,328.60","           2,966.1","              $12,803.12",
Framingham,01000000,"         $120,279,425.00","           8,124.5","              $14,804.53","         $135,581,668.00","           8,597.9","              $15,769.16",
Franklin,01010000,"          $59,984,360.18","           6,034.9","               $9,939.58","          $70,020,082.18","           6,539.0","              $10,708.07",
Franklin County Regional Vocational Technical,08180000,"          $10,566,351.13",             492.0,"              $21,476.32","          $10,584,522.13",             495.1,"              $21,378.55",
Freetown,01020000,"           $5,080,268.61",             559.9,"               $9,073.53","           $7,546,516.26",             656.2,"              $11,500.33",
Freetown-Lakeville,06650000,"          $21,507,767.60","           1,914.6","              $11,233.56","          $21,598,700.87","           1,942.5","              $11,119.02",
Frontier,06700000,"          $10,119,643.00",             685.8,"              $14,755.97","          $11,697,488.15",             772.7,"              $15,138.46",
Gardner,01030000,"          $27,804,688.84","           2,557.0","              $10,873.95","          $30,179,441.96","           2,725.7","              $11,072.18",
Gateway,06720000,"          $15,296,800.33","           1,111.1","              $13,767.26","          $16,750,395.33","           1,213.0","              $13,809.06",
Georgetown,01050000,"          $16,082,846.00","           1,648.0","               $9,759.01","          $16,813,275.00","           1,703.3","               $9,871.00",
Gill-Montague,06740000,"          $16,506,659.26","           1,062.1","              $15,541.53","          $18,961,478.80","           1,299.2","              $14,594.73",
Gloucester,01070000,"          $43,690,090.14","           3,190.0","              $13,695.95","          $49,278,924.51","           3,566.4","              $13,817.55",
Grafton,01100000,"          $27,940,996.00","           2,882.8","               $9,692.31","          $29,460,322.00","           2,974.4","               $9,904.63",
Granby,01110000,"          $11,276,043.33","           1,127.9","               $9,997.38","          $12,201,559.00","           1,175.9","              $10,376.36",
Granville,01120000,"           $2,284,476.00",             146.8,"              $15,561.83","           $3,589,420.00",             235.4,"              $15,248.17",
Greater Fall River Regional Vocational Technical,08210000,"          $24,336,504.68","           1,376.6","              $17,678.70","          $24,336,504.68","           1,376.6","              $17,678.70",
Greater Lawrence Regional Vocational Technical,08230000,"          $27,547,940.71","           1,184.2","              $23,262.91","          $28,571,485.76","           1,376.0","              $20,764.16",
Greater Lowell Regional Vocational Technical,08280000,"          $36,672,800.84","           2,032.1","              $18,046.75","          $37,003,443.84","           2,093.7","              $17,673.71",
Greater New Bedford Regional Vocational Technical,08250000,"          $36,208,065.93","           2,091.5","              $17,312.01","          $36,210,065.93","           2,091.9","              $17,309.65",
Greenfield,01140000,"          $24,733,742.00","           1,853.8","              $13,342.18","          $29,968,728.00","           2,366.3","              $12,664.80",
Groton-Dunstable,06730000,"          $30,790,139.00","           2,776.5","              $11,089.55","          $34,162,554.00","           2,898.4","              $11,786.69",
Hadley,01170000,"           $6,716,149.00",             714.9,"               $9,394.53","           $7,725,068.00",             790.7,"               $9,769.91",
Halifax,01180000,"           $5,776,221.50",             633.0,"               $9,125.15","           $7,234,516.41",             656.3,"              $11,023.19",
Hamilton-Wenham,06750000,"          $27,190,113.70","           1,962.0","              $13,858.37","          $28,976,489.95","           1,992.1","              $14,545.70",
Hampden-Wilbraham,06800000,"          $38,395,206.76","           3,573.9","              $10,743.22","          $42,125,676.76","           3,660.7","              $11,507.55",
Hampshire,06830000,"          $11,167,174.00",             810.2,"              $13,783.23","          $12,707,463.00",             919.4,"              $13,821.47",
Hancock,01210000,"             $611,518.00",              48.4,"              $12,634.67","           $1,238,199.00",             116.5,"              $10,628.32",
Hanover,01220000,"          $29,003,619.00","           2,704.0","              $10,726.19","          $30,230,244.00","           2,757.0","              $10,964.91",
Harvard,01250000,"          $15,543,213.18","           1,261.3","              $12,323.17","          $17,751,507.06","           1,317.3","              $13,475.68",
Harwich,01260000,"          $20,038,227.78","           1,322.2","              $15,155.22","          $22,695,854.23","           1,562.2","              $14,528.14",
Hatfield,01270000,"           $5,059,034.00",             466.5,"              $10,844.66","           $5,929,267.00",             528.0,"              $11,229.67",
Haverhill,01280000,"          $80,623,113.00","           6,906.1","              $11,674.19","          $93,790,944.00","           8,136.2","              $11,527.61",
Hawlemont,06850000,"           $1,636,145.83",              96.1,"              $17,025.45","           $1,826,143.83",             113.1,"              $16,146.28",
Hingham,01310000,"          $42,554,597.55","           4,105.3","              $10,365.77","          $46,178,573.05","           4,169.2","              $11,076.12",
Holbrook,01330000,"          $14,099,118.99","           1,177.3","              $11,975.81","          $17,498,497.99","           1,255.5","              $13,937.47",
Holland,01350000,"           $2,488,825.00",             250.0,"               $9,955.30","           $2,918,984.00",             254.7,"              $11,460.48",
Holliston,01360000,"          $32,776,215.28","           2,863.5","              $11,446.21","          $35,382,281.75","           2,926.8","              $12,089.07",
Holyoke,01370000,"          $87,775,963.51","           5,737.3","              $15,299.18","         $103,534,976.74","           6,717.6","              $15,412.50",
Hopedale,01380000,"          $12,255,072.00","           1,280.6","               $9,569.79","          $13,240,812.00","           1,346.7","               $9,832.04",
Hopkinton,01390000,"          $40,148,269.93","           3,391.6","              $11,837.56","          $42,717,063.11","           3,473.6","              $12,297.63",
Hudson,01410000,"          $35,855,782.53","           2,988.5","              $11,997.92","          $39,064,076.41","           3,112.4","              $12,551.11",
Hull,01420000,"          $15,501,739.84","           1,167.7","              $13,275.45","          $17,414,170.55","           1,242.2","              $14,018.81",
Ipswich,01440000,"          $23,157,904.44","           2,096.7","              $11,044.93","          $24,244,964.41","           2,132.6","              $11,368.74",
King Philip,06900000,"          $23,228,811.00","           2,108.2","              $11,018.31","          $26,080,972.00","           2,185.0","              $11,936.37",
Kingston,01450000,"           $9,591,869.31","           1,185.4","               $8,091.67","          $12,455,786.54","           1,221.2","              $10,199.63",
Lakeville,01460000,"           $6,032,511.88",             668.0,"               $9,030.71","           $7,800,392.36",             733.5,"              $10,634.48",
Lanesborough,01480000,"           $3,856,332.00",             258.1,"              $14,941.23","           $4,198,663.00",             293.9,"              $14,286.03",
Lawrence,01490000,"         $166,663,989.16","          12,834.1","              $12,986.03","         $188,796,901.08","          14,023.6","              $13,462.80",
Lee,01500000,"          $11,775,970.61",             825.9,"              $14,258.35","          $12,520,811.26",             905.9,"              $13,821.41",
Leicester,01510000,"          $17,931,200.50","           1,818.8","               $9,858.81","          $21,394,679.50","           1,942.9","              $11,011.72",
Lenox,01520000,"          $12,401,529.45",             795.2,"              $15,595.48","          $12,771,127.88",             843.6,"              $15,138.84",
Leominster,01530000,"          $66,179,184.67","           6,144.9","              $10,769.77","          $76,074,869.58","           6,632.1","              $11,470.71",
Leverett,01540000,"           $2,445,028.00",             160.8,"              $15,205.40","           $2,571,919.00",             167.2,"              $15,382.29",
Lexington,01550000,"          $98,249,622.28","           6,315.0","              $15,558.13","         $106,268,065.22","           6,420.1","              $16,552.40",
Lincoln,01570000,"          $22,326,439.32","           1,091.7","              $20,451.08","          $22,866,424.27","           1,100.6","              $20,776.33",
Lincoln-Sudbury,06950000,"          $23,535,176.60","           1,583.9","              $14,859.00","          $26,610,760.04","           1,625.4","              $16,371.82",
Littleton,01580000,"          $18,645,057.19","           1,567.1","              $11,897.81","          $21,653,588.22","           1,706.1","              $12,691.86",
Longmeadow,01590000,"          $34,643,452.34","           2,984.5","              $11,607.79","          $38,279,254.34","           3,047.0","              $12,562.93",
Lowell,01600000,"         $170,344,209.03","          13,587.1","              $12,537.20","         $188,383,236.84","          14,741.0","              $12,779.54",
Ludlow,01610000,"          $33,869,345.40","           2,968.3","              $11,410.35","          $37,119,856.06","           3,064.4","              $12,113.25",
Lunenburg,01620000,"          $17,855,710.00","           1,663.5","              $10,733.82","          $19,447,738.01","           1,755.2","              $11,080.07",
Lynn,01630000,"         $165,484,390.52","          13,563.6","              $12,200.62","         $181,941,297.77","          14,327.2","              $12,699.01",
Lynnfield,01640000,"          $25,540,111.59","           2,297.4","              $11,116.96","          $26,795,174.59","           2,335.0","              $11,475.45",
Malden,01650000,"          $78,368,263.14","           6,602.6","              $11,869.30","          $91,140,032.02","           7,375.2","              $12,357.64",
Manchester Essex Regional,06980000,"          $18,914,024.82","           1,518.4","              $12,456.55","          $20,422,338.12","           1,538.5","              $13,274.19",
Mansfield,01670000,"          $48,859,201.67","           4,765.1","              $10,253.55","          $52,164,457.23","           4,942.8","              $10,553.62",
Marblehead,01680000,"          $40,534,741.00","           3,243.4","              $12,497.61","          $43,441,553.00","           3,413.4","              $12,726.77",
Marion,01690000,"           $5,555,213.40",             465.1,"              $11,944.13","           $6,021,981.12",             470.9,"              $12,788.24",
Marlborough,01700000,"          $60,354,384.12","           4,560.0","              $13,235.61","          $70,055,300.00","           5,022.1","              $13,949.40",
Marshfield,01710000,"          $47,712,167.97","           4,664.4","              $10,229.00","          $51,320,283.97","           4,762.6","              $10,775.69",
Marthas Vineyard,07000000,"          $16,225,452.25",             683.8,"              $23,728.36","          $17,790,429.00",             731.0,"              $24,337.11",
Masconomet,07050000,"          $25,333,583.65","           2,080.7","              $12,175.51","          $27,236,455.01","           2,119.6","              $12,849.81",
Mashpee,01720000,"          $24,456,271.76","           1,767.6","              $13,835.86","          $26,372,979.76","           1,850.5","              $14,251.81",
Mattapoisett,01730000,"           $6,901,629.14",             525.7,"              $13,128.46","           $7,559,770.24",             538.8,"              $14,030.75",
Maynard,01740000,"          $17,599,861.00","           1,308.8","              $13,447.33","          $18,972,943.79","           1,412.0","              $13,436.93",
Medfield,01750000,"          $31,305,074.00","           2,921.1","              $10,716.88","          $33,462,962.00","           2,961.8","              $11,298.18",
Medford,01760000,"          $60,847,079.73","           4,865.0","              $12,507.11","          $69,253,674.50","           5,325.2","              $13,004.90",
Medway,01770000,"          $28,666,817.00","           2,638.2","              $10,866.05","          $31,803,149.00","           2,731.9","              $11,641.40",
Melrose,01780000,"          $37,211,742.99","           3,727.1","               $9,984.10","          $42,659,295.74","           4,029.1","              $10,587.80",
Mendon-Upton,07100000,"          $26,963,733.79","           2,706.8","               $9,961.48","          $30,559,484.61","           2,825.3","              $10,816.37",
Methuen,01810000,"          $79,971,964.50","           7,146.1","              $11,190.99","          $86,185,634.50","           7,352.2","              $11,722.43",
Middleborough,01820000,"          $36,881,899.85","           3,431.8","              $10,747.10","          $40,367,016.87","           3,532.8","              $11,426.35",
Middleton,01840000,"           $9,507,695.80",             822.2,"              $11,563.73","           $9,774,491.80",             831.0,"              $11,762.32",
Milford,01850000,"          $47,031,037.76","           4,111.7","              $11,438.34","          $52,952,028.04","           4,336.2","              $12,211.62",
Millbury,01860000,"          $22,120,406.00","           1,824.6","              $12,123.43","          $24,110,323.00","           1,868.7","              $12,902.19",
Millis,01870000,"          $14,386,724.08","           1,447.5","               $9,939.01","          $16,037,031.08","           1,520.9","              $10,544.43",
Milton,01890000,"          $45,724,950.52","           3,917.3","              $11,672.57","          $50,256,314.63","           3,984.5","              $12,612.95",
Minuteman Regional Vocational Technical,08300000,"          $17,008,960.86",             668.0,"              $25,462.52","          $17,025,095.86",             671.0,"              $25,372.72",
Mohawk Trail,07170000,"          $16,707,837.72","           1,073.4","              $15,565.34","          $18,363,639.72","           1,209.1","              $15,187.86",
Monson,01910000,"          $14,892,312.00","           1,333.0","              $11,172.03","          $16,077,723.00","           1,372.6","              $11,713.33",
Montachusett Regional Vocational Technical,08320000,"          $23,287,246.22","           1,355.0","              $17,186.16","          $23,444,349.22","           1,377.9","              $17,014.55",
Mount Greylock,07150000,"           $9,844,119.35",             598.9,"              $16,437.00","          $10,833,202.35",             638.2,"              $16,974.62",
Nahant,01960000,"           $2,463,258.00",             234.2,"              $10,517.75","           $4,073,638.00",             388.7,"              $10,480.16",
Nantucket,01970000,"          $25,997,792.39","           1,285.4","              $20,225.45","          $27,014,817.39","           1,295.4","              $20,854.42",
Narragansett,07200000,"          $17,333,453.00","           1,481.6","              $11,699.14","          $19,766,475.00","           1,604.7","              $12,317.86",
Nashoba,07250000,"          $42,236,009.64","           3,462.4","              $12,198.48","          $44,864,010.76","           3,589.6","              $12,498.33",
Nashoba Valley Regional Vocational Technical,08520000,"          $10,503,401.36",             691.1,"              $15,198.09","          $10,513,401.36",             693.1,"              $15,168.66",
Natick,01980000,"          $56,489,074.00","           4,798.8","              $11,771.50","          $62,705,789.02","           4,957.4","              $12,648.93",
Nauset,06600000,"          $24,465,797.00","           1,535.2","              $15,936.55","          $27,355,864.00","           1,682.6","              $16,258.09",
Needham,01990000,"          $68,696,465.87","           5,365.8","              $12,802.65","          $74,135,776.68","           5,450.5","              $13,601.65",
New Bedford,02010000,"         $162,936,020.00","          12,630.9","              $12,899.79","         $173,016,340.00","          13,236.5","              $13,071.15",
New Salem-Wendell,07280000,"           $2,100,304.00",             142.1,"              $14,780.46","           $2,155,305.00",             153.2,"              $14,068.57",
Newburyport,02040000,"          $30,061,470.80","           2,279.3","              $13,188.90","          $33,552,798.67","           2,509.8","              $13,368.71",
Newton,02070000,"         $185,262,018.00","          11,892.1","              $15,578.58","         $197,741,997.00","          12,059.5","              $16,397.20",
Norfolk,02080000,"          $11,714,406.67","           1,005.3","              $11,652.65","          $12,451,768.00","           1,020.4","              $12,202.83",
Norfolk County Agricultural,09150000,"           $9,787,093.56",             471.8,"              $20,744.16","           $9,787,093.56",             471.8,"              $20,744.16",
North Adams,02090000,"          $23,192,991.78","           1,534.0","              $15,119.29","          $26,157,686.77","           1,732.1","              $15,101.72",
North Andover,02110000,"          $49,329,810.37","           4,659.3","              $10,587.39","          $54,715,669.20","           4,756.5","              $11,503.35",
North Attleborough,02120000,"          $46,373,859.89","           4,667.0","               $9,936.55","          $49,568,966.32","           4,792.3","              $10,343.46",
North Brookfield,02150000,"           $7,516,304.81",             601.4,"              $12,498.01","           $8,581,781.56",             717.3,"              $11,964.01",
North Middlesex,07350000,"          $41,730,255.15","           3,922.6","              $10,638.42","          $46,849,771.32","           4,133.1","              $11,335.26",
North Reading,02170000,"          $30,244,726.14","           2,671.6","              $11,320.83","          $32,501,579.04","           2,721.8","              $11,941.21",
North Shore Regional Vocational Technical,08540000,"          $10,704,299.18",             457.5,"              $23,397.38","          $10,721,632.18",             459.5,"              $23,333.26",
Northampton,02100000,"          $32,835,864.99","           2,697.3","              $12,173.61","          $37,851,971.99","           3,005.0","              $12,596.33",
Northampton-Smith Vocational Agricultural,04060000,"           $8,256,610.78",             435.0,"              $18,980.71","           $8,256,610.78",             435.0,"              $18,980.71",
Northboro-Southboro,07300000,"          $19,386,262.85","           1,414.4","              $13,706.35","          $19,930,965.93","           1,437.5","              $13,865.02",
Northborough,02130000,"          $22,035,535.14","           1,902.9","              $11,579.98","          $24,106,193.45","           1,956.1","              $12,323.60",
Northbridge,02140000,"          $27,084,705.47","           2,539.4","              $10,665.79","          $29,641,199.63","           2,675.6","              $11,078.34",
Northeast Metropolitan Regional Vocational Technical,08530000,"          $22,235,823.00","           1,225.9","              $18,138.37","          $22,250,147.00","           1,226.9","              $18,135.26",
Northern Berkshire Regional Vocational Technical,08510000,"           $9,291,190.20",             488.5,"              $19,019.84","           $9,291,190.20",             488.5,"              $19,019.84",
Norton,02180000,"          $29,423,929.46","           2,760.4","              $10,659.30","          $35,443,191.46","           3,029.9","              $11,697.81",
Norwell,02190000,"          $25,006,768.56","           2,326.1","              $10,750.51","          $27,080,087.52","           2,349.8","              $11,524.42",
Norwood,02200000,"          $44,297,919.65","           3,415.4","              $12,970.05","          $47,442,398.65","           3,499.2","              $13,558.07",
Oak Bluffs,02210000,"           $7,738,074.53",             405.1,"              $19,101.64","           $8,485,216.53",             450.1,"              $18,851.85",
Old Colony Regional Vocational Technical,08550000,"           $9,804,245.14",             548.5,"              $17,874.65","           $9,804,245.14",             548.5,"              $17,874.65",
Old Rochester,07400000,"          $16,772,652.22","           1,165.9","              $14,386.01","          $16,818,150.72","           1,172.4","              $14,345.06",
Orange,02230000,"           $8,869,236.85",             771.9,"              $11,490.14","           $9,251,835.85",             800.4,"              $11,559.02",
Orleans,02240000,"           $4,469,655.00",             191.9,"              $23,291.58","           $4,597,798.00",             196.1,"              $23,446.19",
