2018 Staffing Retention Rates,,,,,,,,,,
District Name,District Code,Superintendent Total,Superintendent # Retained,Superintendent % Retained,Principal Total,Principal # Retained,Principal % Retained,Teacher Total,Teacher # Retained,Teacher % Retained
Wilmington,03420000,1,0,0.0,       8,       7,87.5,     284,     257,90.5
Winchendon,03430000,1,1,100.0,       3,       2,66.7,     100,      84,84.0
Winchester,03440000,1,1,100.0,       7,       6,85.7,     378,     350,92.6
Winthrop,03460000,1,0,0.0,       4,       4,100.0,     158,     121,76.6
Woburn,03470000,1,1,100.0,      11,      11,100.0,     392,     352,89.8
Worcester,03480000,1,1,100.0,      48,      38,79.2,"   1,826","   1,559",85.4
Worthington,03490000,1,1,100.0,       1,       1,100.0,       8,       7,87.5
Wrentham,03500000,1,1,100.0,       2,       2,100.0,      79,      75,94.9
State Totals,00000000,403,336,83.4,"   1,897","   1,584",83.5,"  75,104","  65,228",86.9
State Totals,00000000,343,293,85.4,"   1,891","   1,629",86.1,"  74,959","  67,335",89.8
